"","CVX.Open","CVX.High","CVX.Low","CVX.Close","CVX.Volume","CVX.Adjusted"
"2001-04-06",44.25,44.75,43.904999,44.610001,4428400,20.517036
"2001-04-09",44.875,45.75,44.875,45.75,4455000,21.041346
"2001-04-10",45.950001,46.474998,45.950001,46.400002,5972000,21.340294
"2001-04-11",45.900002,45.900002,45.09,45.400002,5068800,20.880375
"2001-04-12",45.400002,45.900002,45.064999,45.900002,3530000,21.110332
"2001-04-16",46,46.900002,45.849998,46.900002,3695000,21.570253
"2001-04-17",46.799999,46.805,46.134998,46.625,4591600,21.443773
"2001-04-18",46.224998,46.974998,45.66,46.73,6590800,21.492073
"2001-04-19",46.380001,46.59,45.845001,46.375,4761400,21.328791
"2001-04-20",46.375,46.700001,46.174999,46.625,4349400,21.443773
"2001-04-23",46.950001,47.439999,46.849998,47.355,4328600,21.779524
"2001-04-24",47.424999,47.5,46.785,47.150002,5287200,21.68523
"2001-04-25",47.380001,47.73,46.884998,47.66,5224800,21.919798
"2001-04-26",47.875,48.970001,47.799999,48.93,10751600,22.503889
"2001-04-27",48.93,48.950001,48.400002,48.744999,6143800,22.418798
"2001-04-30",48.744999,48.900002,48.099998,48.279999,4541200,22.204947
"2001-05-01",47.855,48.299999,47.689999,48.224998,5795800,22.179651
"2001-05-02",47.235001,47.735001,45.849998,46,7004800,21.156328
"2001-05-03",45.875,46,45.334999,45.849998,6340200,21.087332
"2001-05-04",46.049999,46.799999,45.875,46.674999,4572800,21.466776
"2001-05-07",46.990002,47.150002,46.334999,47.099998,3188600,21.662241
"2001-05-08",46.650002,47.240002,46.375,46.900002,3768200,21.570253
"2001-05-09",47.189999,47.715,47.02,47.715,3297200,21.945097
"2001-05-10",47.709999,47.950001,47.279999,47.605,4027400,21.894497
"2001-05-11",47.599998,47.605,46.799999,47.009998,3083000,21.620848
"2001-05-14",47.009998,47.580002,46.950001,47.200001,4496600,21.708223
"2001-05-15",47.674999,47.75,47.125,47.700001,4923400,21.938187
"2001-05-16",47.375,47.93,47.279999,47.625,4281000,22.206295
"2001-05-17",47.625,47.994999,47.290001,47.830002,3347400,22.301886
"2001-05-18",48.049999,48.875,48.02,48.785,4499200,22.747173
"2001-05-21",49,49.244999,48.125,48.57,4344200,22.646927
"2001-05-22",48.5,48.505001,47.535,47.535,3929400,22.164339
"2001-05-23",47.66,47.75,47.029999,47.09,3562600,21.956839
"2001-05-24",47.349998,47.355,46.799999,47.150002,2863200,21.984816
"2001-05-25",47.474998,47.59,47.049999,47.09,5267400,21.956839
"2001-05-29",48,48.395,47.775002,47.775002,5590800,22.276237
"2001-05-30",47.994999,48,47.474998,47.919998,4140600,22.343847
"2001-05-31",47.5,48.18,47.5,48.025002,4903400,22.392811
"2001-06-01",48.25,48.400002,47.849998,48.189999,3514600,22.469744
"2001-06-04",48.474998,49.029999,48.474998,49.014999,4290000,22.854414
"2001-06-05",48.889999,49.025002,48.66,48.849998,5557000,22.777479
"2001-06-06",48.275002,48.375,47.955002,48.080002,6277600,22.418455
"2001-06-07",48.075001,48.505001,47.919998,48.005001,5264000,22.383482
"2001-06-08",48.244999,48.244999,47.849998,48.220001,3163000,22.48373
"2001-06-11",48.5,48.950001,48.375,48.75,4930800,22.73085
"2001-06-12",48.75,49,48.5,48.794998,3928000,22.751829
"2001-06-13",49,49.200001,48.509998,48.575001,4214400,22.649248
"2001-06-14",48.474998,48.474998,47.790001,47.830002,3096400,22.301886
"2001-06-15",47.505001,48.525002,47.505001,48.345001,5008600,22.542004
"2001-06-18",48.345001,48.424999,47.799999,47.849998,3701000,22.311205
"2001-06-19",47.855,47.974998,47.48,47.75,3441000,22.264582
"2001-06-20",47.5,48.150002,47.215,47.235001,4553400,22.024445
"2001-06-21",47.235001,47.275002,46.174999,46.73,7991200,21.788979
"2001-06-22",47.049999,47.445,46.294998,47.369999,5513600,22.0874
"2001-06-25",47.474998,47.674999,47.060001,47.474998,3957600,22.136354
"2001-06-26",47.349998,47.674999,47.025002,47.349998,4895800,22.078072
"2001-06-27",46.93,46.990002,45.650002,45.700001,5376400,21.308722
"2001-06-28",45.5,45.5,43.970001,44.369999,8469400,20.688578
"2001-06-29",44.740002,45.439999,44.200001,45.25,5919000,21.098902
"2001-07-02",45.244999,45.244999,44.724998,45.154999,5568800,21.054602
"2001-07-03",45.154999,45.209999,44.935001,45.195,3177200,21.073252
"2001-07-05",45.195,46.27,45.195,45.66,5943000,21.29007
"2001-07-06",45.974998,45.974998,45.049999,45.5,5111000,21.215471
"2001-07-09",45.5,45.5,44.630001,45.02,5091000,20.991655
"2001-07-10",45,45.375,44.375,44.700001,5289000,20.842443
"2001-07-11",44.5,44.5,43.529999,43.834999,4930600,20.439121
"2001-07-12",44,44.549999,43.525002,44.529999,5330800,20.763178
"2001-07-13",44.529999,45.125,44.240002,44.700001,4373200,20.842443
"2001-07-16",44.75,45.095001,43.595001,43.825001,3769600,20.434456
"2001-07-17",43.849998,44.099998,43.185001,43.424999,4823200,20.247946
"2001-07-18",43.025002,43.439999,42.549999,43.400002,5513400,20.236298
"2001-07-19",43.625,43.799999,43.264999,43.575001,5084200,20.317877
"2001-07-20",43.650002,44.715,43.650002,44.474998,6321800,20.737535
"2001-07-23",44.549999,44.605,43.5,43.82,4117600,20.432123
"2001-07-24",43.450001,43.645,42.375,42.59,4308800,19.858608
"2001-07-25",43.224998,44.625,43.125,44.584999,8738000,20.788824
"2001-07-26",44.584999,45.099998,44.224998,45.025002,5878600,20.993986
"2001-07-27",45.224998,45.595001,44.535,45.549999,3295000,21.238775
"2001-07-30",45.700001,45.935001,45.150002,45.764999,3749600,21.339029
"2001-07-31",45.799999,46.23,45.485001,45.695,5999400,21.306379
"2001-08-01",45.775002,46.064999,45.360001,45.584999,5517400,21.2551
"2001-08-02",45.685001,45.740002,45.32,45.525002,4629400,21.227121
"2001-08-03",45.400002,45.544998,44.875,45.34,3216400,21.140858
"2001-08-06",45.224998,45.525002,45.110001,45.195,2744000,21.073252
"2001-08-07",45.32,45.805,45.32,45.564999,5191800,21.245768
"2001-08-08",45.700001,45.900002,44.994999,45.005001,4224800,20.984661
"2001-08-09",44.974998,45.369999,44.700001,45.294998,4531600,21.119881
"2001-08-10",45.625,46.220001,45.599998,45.875,6367200,21.39032
"2001-08-13",45.900002,46.209999,45.775002,45.849998,5167800,21.378654
"2001-08-14",45.849998,46.125,45.799999,46.119999,4828800,21.504547
"2001-08-15",46.224998,46.674999,46.060001,46.505001,5107600,21.994047
"2001-08-16",46.514999,46.599998,46.099998,46.525002,5532400,22.003511
"2001-08-17",46.450001,46.514999,45.875,46.005001,4083800,21.757578
"2001-08-20",46.025002,46.139999,45.474998,45.669998,4832400,21.599146
"2001-08-21",45.985001,45.985001,45.200001,45.23,4716600,21.39105
"2001-08-22",45.575001,46.575001,45.514999,45.974998,8601400,21.743385
"2001-08-23",45.974998,46.445,45.924999,46.139999,3254800,21.821428
"2001-08-24",46.139999,46.599998,46.014999,46.400002,2957000,21.944382
"2001-08-27",46.549999,46.805,46.049999,46.049999,2658800,21.778856
"2001-08-28",46.049999,46.049999,45.549999,45.560001,2805600,21.547129
"2001-08-29",45.810001,46.224998,45.799999,45.880001,5262200,21.698465
"2001-08-30",45.880001,46.150002,44.98,45.235001,6140600,21.393415
"2001-08-31",45.299999,45.525002,45.095001,45.375,3368000,21.459629
"2001-09-04",45.549999,46.139999,45.549999,45.674999,5547600,21.601503
"2001-09-05",45.799999,45.799999,45.400002,45.700001,5466800,21.613333
"2001-09-06",45.650002,46,45.525002,45.875,5801400,21.6961
"2001-09-07",45.880001,46.654999,45.674999,46.200001,9550600,21.849798
"2001-09-10",46.174999,46.200001,45.775002,45.849998,6084400,21.684273
"2001-09-17",46.25,46.25,45.105,45.110001,10121600,21.33429
"2001-09-18",45.049999,45.099998,43.810001,43.880001,8250200,20.75259
"2001-09-19",43.880001,43.884998,41.450001,42.450001,9064200,20.076267
"2001-09-20",42.125,42.450001,41.605,41.849998,7111000,19.792513
"2001-09-21",41.849998,42.139999,40.5,42.005001,9363000,19.865824
"2001-09-24",42.005001,42.275002,40.285,40.549999,9300400,19.177694
"2001-09-25",40.5,40.540001,39.505001,39.849998,9790600,18.846632
"2001-09-26",40.049999,40.244999,39.299999,39.384998,9604800,18.626717
"2001-09-27",39.575001,41.75,39.380001,41.75,11456000,19.74522
"2001-09-28",41.625,42.375,41.325001,42.375,8121600,20.040812
"2001-10-01",41.924999,41.93,41.040001,41.849998,6330600,19.792513
"2001-10-02",41.299999,42.825001,41.125,42.75,7214200,20.218159
"2001-10-03",42.755001,42.880001,42,42.705002,6913400,20.196878
"2001-10-04",42.709999,44,42.709999,43.555,6275200,20.598875
"2001-10-05",43.900002,44.384998,43.424999,44.220001,7237800,20.913389
"2001-10-08",44.224998,45,43.884998,44.474998,5462000,21.033981
"2001-10-09",44.875,45.75,44.125,45.445,11114600,21.492731
"2001-10-10",45.450001,46.884998,45.445,46.724998,9967800,22.098091
"2001-10-11",46.599998,46.75,45.98,46.639999,10826600,22.057892
"2001-10-12",46.224998,46.400002,45.075001,45.5,11492400,21.518744
"2001-10-15",45.25,45.275002,43.799999,44.224998,7012200,20.915745
"2001-10-16",44.224998,44.700001,43.650002,44.575001,5857600,21.081272
"2001-10-17",44.849998,45.075001,44.259998,44.549999,4391600,21.069454
"2001-10-18",44.075001,44.150002,42.84,43.014999,6331800,20.343485
"2001-10-19",42.775002,43.744999,42.400002,43.369999,6220400,20.511379
"2001-10-22",43.450001,44.375,43.009998,44.375,4987800,20.986685
"2001-10-23",44.275002,44.674999,43.060001,43.299999,6375600,20.478273
"2001-10-24",43.424999,43.575001,42.75,43.455002,5152200,20.551582
"2001-10-25",42.674999,43.950001,42.625,43.950001,6297000,20.785683
"2001-10-26",43.950001,44.5,43.665001,44.465,6564600,21.029253
"2001-10-29",44.599998,44.744999,44.125,44.505001,6144400,21.048164
"2001-10-30",44.505001,44.799999,43.700001,44.5,7090200,21.045797
"2001-10-31",44.400002,44.994999,44.029999,44.275002,7689000,20.939386
"2001-11-01",44.275002,45,44.035,44.93,5410400,21.24917
"2001-11-02",44.575001,44.580002,43.724998,43.724998,5329200,20.679279
"2001-11-05",43.974998,44.174999,43.549999,43.555,5289600,20.598875
"2001-11-06",43.349998,43.555,42.93,43.400002,6992800,20.525572
"2001-11-07",43.400002,43.764999,42.950001,43.639999,6459600,20.639074
"2001-11-08",43.875,44.049999,43.474998,43.794998,6541600,20.712379
"2001-11-09",44.375,44.849998,44.224998,44.744999,5561600,21.161667
"2001-11-12",44.450001,44.799999,44,44.615002,4566000,21.100195
"2001-11-13",44.825001,45.110001,43.825001,45.084999,6896000,21.322464
"2001-11-14",44.224998,44.5,43.150002,43.310001,8151400,20.806053
"2001-11-15",42.375,42.380001,41.25,41.900002,12166400,20.128689
"2001-11-16",41.900002,42.075001,41.349998,41.724998,10877600,20.044613
"2001-11-19",41.724998,41.799999,41,41.455002,7657600,19.914904
"2001-11-20",42.25,43.424999,42.150002,43.264999,8325600,20.784422
"2001-11-21",43.75,43.865002,42.724998,43.040001,6153400,20.676348
"2001-11-23",42.299999,43.424999,42.125,43.290001,2781600,20.796434
"2001-11-26",42.575001,42.799999,42.049999,42.599998,5234600,20.46496
"2001-11-27",42.349998,43,42.174999,42.810001,5662400,20.565851
"2001-11-28",42.525002,42.950001,42.275002,42.275002,5035000,20.308834
"2001-11-29",42.5,42.84,42.189999,42.724998,3293000,20.525005
"2001-11-30",42.700001,42.974998,42.259998,42.505001,4459200,20.419323
"2001-12-03",42.509998,43.455002,42.18,43.224998,5731400,20.765211
"2001-12-04",43.224998,43.450001,42.790001,43.415001,5662000,20.856489
"2001-12-05",43.75,43.990002,43.575001,43.75,6313000,21.017422
"2001-12-06",44,44,42.814999,42.990002,4667800,20.652317
"2001-12-07",42.985001,43.799999,42.709999,43.615002,4118400,20.952568
"2001-12-10",43.445,43.700001,42.950001,43.064999,4436200,20.688351
"2001-12-11",43.064999,43.5,42.514999,42.549999,4204200,20.440943
"2001-12-12",43,43,42.509998,42.799999,5348000,20.561041
"2001-12-13",42.799999,42.974998,41.889999,42.125,6186200,20.236774
"2001-12-14",42.200001,42.450001,41.900002,42,6751400,20.17672
"2001-12-17",42.125,42.84,41.790001,42.82,6345000,20.57065
"2001-12-18",42.639999,43.195,42.625,43.125,4466200,20.717175
"2001-12-19",43,43.845001,42.985001,43.75,6399800,21.017422
"2001-12-20",44.125,44.150002,43.549999,43.700001,4141800,20.993402
"2001-12-21",43.974998,44.445,43.950001,44.299999,7552200,21.281639
"2001-12-24",44.299999,44.615002,44.255001,44.275002,2038400,21.26963
"2001-12-26",44.575001,45.334999,44.474998,44.599998,3932200,21.425755
"2001-12-27",44.724998,45.334999,44.514999,45.154999,4841200,21.692387
"2001-12-28",45.5,45.525002,44.919998,45.220001,4088800,21.723612
"2001-12-31",45,45.349998,44.665001,44.805,5061000,21.524246
"2002-01-02",44.805,44.805,43.955002,44.740002,5018200,21.493015
"2002-01-03",44.650002,44.985001,44.474998,44.75,3480800,21.497818
"2002-01-04",44.814999,45.049999,44.645,44.650002,4879000,21.449781
"2002-01-07",44.720001,45,44.650002,44.860001,4656400,21.550665
"2002-01-08",45,45.244999,44.25,45.025002,4937800,21.629927
"2002-01-09",44.650002,45.25,44.25,44.555,5963400,21.404133
"2002-01-10",44.259998,44.669998,44.099998,44.474998,4527000,21.365709
"2002-01-11",44.450001,44.474998,43.625,43.705002,5055400,20.9958
"2002-01-14",43.709999,43.869999,43.355,43.695,5301000,20.990988
"2002-01-15",44.125,44.599998,44,44.599998,5563800,21.425755
"2002-01-16",44.150002,44.240002,43.724998,43.73,4128000,21.007814
"2002-01-17",43.970001,44.060001,43.5,43.700001,3384800,20.993402
"2002-01-18",43.599998,43.875,43.400002,43.400002,4183600,20.849279
"2002-01-22",43.700001,43.82,43.055,43.365002,3909800,20.832472
"2002-01-23",43.564999,44.279999,43.555,43.875,5082000,21.077475
"2002-01-24",43.900002,44.285,43.884998,44.049999,3894400,21.161543
"2002-01-25",44.25,44.509998,44.125,44.279999,3622400,21.272038
"2002-01-28",44.59,44.59,44.240002,44.435001,4752400,21.346491
"2002-01-29",43.875,43.880001,42.325001,42.584999,12283800,20.457764
"2002-01-30",41.25,41.665001,40.549999,41.549999,14362400,19.960545
"2002-01-31",41.5,41.994999,41.48,41.900002,6926400,20.128689
"2002-02-01",41.700001,42.799999,41.700001,42.685001,6272000,20.505804
"2002-02-04",42.424999,42.619999,41.900002,41.959999,4149200,20.157505
"2002-02-05",41.525002,41.900002,41.055,41.18,6604400,19.782804
"2002-02-06",41.244999,41.775002,41.150002,41.599998,5351000,19.984556
"2002-02-07",41.299999,41.48,40.875,40.875,6443800,19.636274
"2002-02-08",40.950001,41.099998,40.685001,40.924999,4865800,19.660301
"2002-02-11",40.525002,41.625,40.400002,41.474998,4952200,19.924515
"2002-02-12",41.41,41.605,41.150002,41.195,5228600,19.789989
"2002-02-13",41.125,41.349998,40.775002,41.224998,4955800,20.146755
"2002-02-14",41.25,41.619999,41.044998,41.25,6171800,20.158979
"2002-02-15",41.400002,41.575001,41.075001,41.174999,5146800,20.122311
"2002-02-19",40.950001,41.150002,40.555,40.825001,4331400,19.951273
"2002-02-20",40.744999,40.875,40.400002,40.875,4703800,19.975714
"2002-02-21",41.049999,41.700001,41,41.055,5117400,20.063683
"2002-02-22",41.099998,41.875,41.075001,41.849998,6444600,20.452194
"2002-02-25",41.75,42.369999,41.505001,41.950001,6014400,20.501064
"2002-02-26",42.200001,42.375,41.880001,42.09,4100200,20.569477
"2002-02-27",41.965,42.549999,41.950001,42.5,5399400,20.769852
"2002-02-28",42.5,42.700001,42.139999,42.220001,5236600,20.633017
"2002-03-01",42.220001,42.75,42.099998,42.75,5683600,20.892036
"2002-03-04",42.759998,43.119999,42.455002,43.09,4622600,21.058186
"2002-03-05",43.09,43.404999,42.75,43.125,3876600,21.0753
"2002-03-06",42.849998,44.02,42.849998,43.950001,5463800,21.478474
"2002-03-07",44.125,44.424999,43.625,44.314999,6280000,21.656847
"2002-03-08",44.490002,44.490002,43.755001,43.825001,7562800,21.417381
"2002-03-11",44.349998,44.849998,44.200001,44.549999,5603400,21.771692
"2002-03-12",44.549999,44.895,44.450001,44.810001,5961400,21.898758
"2002-03-13",44.924999,45,44.580002,44.709999,6301800,21.849882
"2002-03-14",44.709999,44.900002,44.619999,44.75,4563600,21.869429
"2002-03-15",44.82,45.200001,44.775002,44.900002,6698800,21.942736
"2002-03-18",45.095001,45.334999,44.849998,45.18,4389600,22.079567
"2002-03-19",45.395,45.799999,45.330002,45.349998,4550000,22.162636
"2002-03-20",44.93,45.395,44.849998,44.900002,4265400,21.942736
"2002-03-21",44.924999,45.365002,44.75,45.189999,3883800,22.084465
"2002-03-22",45,45.5,44.5,44.555,4029200,21.774136
"2002-03-25",44.555,44.744999,44.200001,44.200001,3326000,21.600639
"2002-03-26",44.450001,44.764999,44.325001,44.5,4113000,21.747261
"2002-03-27",44.825001,45.470001,44.790001,45.25,4795800,22.113785
"2002-03-28",45.125,45.595001,45,45.134998,4135400,22.057583
"2002-04-01",44.985001,45.345001,44.849998,44.849998,3871600,21.918304
"2002-04-02",44.855,45.52,44.855,45.43,4462000,22.201742
"2002-04-03",45.185001,45.200001,44.735001,45,5820800,21.99161
"2002-04-04",44.950001,44.990002,43.645,43.895,4851800,21.451597
"2002-04-05",43.950001,43.994999,43.375,43.57,4375200,21.292765
"2002-04-08",43.919998,44.474998,43.705002,44.200001,5352200,21.600639
"2002-04-09",44.099998,44.200001,43.380001,43.645,4007200,21.329416
"2002-04-10",43.474998,44.029999,43.450001,43.799999,3964000,21.405161
"2002-04-11",43.799999,44.025002,43.224998,43.224998,3891000,21.124161
"2002-04-12",42.775002,42.849998,41.775002,42.049999,8008800,20.549929
"2002-04-15",42.700001,43.099998,42.619999,42.650002,4941800,20.843166
"2002-04-16",42.974998,43.575001,42.860001,43.299999,3986200,21.16081
"2002-04-17",43.599998,43.924999,43.064999,43.48,3767600,21.248775
"2002-04-18",43.900002,43.990002,43.119999,43.75,3863400,21.380732
"2002-04-19",43.375,44,43.25,44,4476400,21.502903
"2002-04-22",43.825001,44.064999,43.060001,43.325001,3913200,21.173029
"2002-04-23",42.75,43.490002,42.580002,43.490002,5375400,21.25367
"2002-04-24",42.825001,43.099998,42.485001,42.5,4352400,20.769852
"2002-04-25",42.849998,43.375,42.650002,42.950001,5362200,20.989773
"2002-04-26",42.955002,43.174999,42,42.299999,7546600,20.672113
"2002-04-29",42.509998,43.41,42.349998,42.93,5654600,20.97999
"2002-04-30",43.549999,43.814999,43.345001,43.355,3991000,21.187687
"2002-05-01",43.360001,44.099998,43.224998,43.994999,5293800,21.500462
"2002-05-02",44,44.435001,43.560001,44.435001,4992800,21.715492
"2002-05-03",44.599998,45.049999,44.52,44.755001,6363600,21.871876
"2002-05-06",44.450001,44.450001,43.474998,43.5,4834600,21.258562
"2002-05-07",43.650002,44.200001,43.445,43.834999,3852000,21.42227
"2002-05-08",44.099998,44.525002,43.419998,44.525002,7141800,21.75947
"2002-05-09",44.125,44.400002,43.875,44.134998,5379200,21.568878
"2002-05-10",44.435001,44.450001,43.884998,43.974998,4785000,21.490696
"2002-05-13",43.625,45.244999,43.540001,45.049999,5028400,22.016039
"2002-05-14",45.200001,45.25,44.845001,44.950001,5631000,21.967169
"2002-05-15",44.125,44.525002,44.025002,44.025002,5305200,21.855474
"2002-05-16",44.099998,44.735001,44.099998,44.5,4338000,22.091278
"2002-05-17",44.25,44.695,44.145,44.575001,3907600,22.128517
"2002-05-20",44.275002,44.625,44.025002,44.375,4624400,22.029228
"2002-05-21",44.375,45,43.915001,43.915001,5500400,21.800863
"2002-05-22",43.924999,44.575001,43.674999,44.509998,4409000,22.096239
"2002-05-23",44.509998,44.924999,44.055,44.799999,3743800,22.240204
"2002-05-24",44.805,44.924999,44.115002,44.549999,3217400,22.116096
"2002-05-28",44.575001,44.59,43.950001,44.040001,3501400,21.862917
"2002-05-29",44,44.200001,43.709999,43.950001,3940000,21.818243
"2002-05-30",43.564999,44,43.25,43.400002,4474400,21.54521
"2002-05-31",43.549999,44.599998,43.549999,43.625,4751000,21.656897
"2002-06-03",43.974998,43.974998,43.255001,43.259998,4208400,21.475704
"2002-06-04",43.259998,43.650002,42.959999,43.400002,3868600,21.54521
"2002-06-05",43.400002,43.575001,42.849998,43.575001,5292400,21.63208
"2002-06-06",43.924999,44.095001,42.790001,42.98,4786000,21.336697
"2002-06-07",42.985001,43.700001,42.93,43.625,4861000,21.656897
"2002-06-10",43.549999,43.615002,42.924999,43.174999,4451200,21.433498
"2002-06-11",43.450001,43.529999,42.985001,43.200001,3791000,21.44591
"2002-06-12",43.375,43.674999,43.02,43.375,5183600,21.532797
"2002-06-13",43.375,44.075001,43.154999,43.450001,3834200,21.570024
"2002-06-14",43.375,43.5,42.775002,43.384998,4993000,21.537754
"2002-06-17",43.75,44.375,43.375,44.349998,4808800,22.016817
"2002-06-18",44.075001,44.349998,43.924999,44.215,4181800,21.949797
"2002-06-19",44.099998,44.325001,43.299999,43.299999,6010200,21.495569
"2002-06-20",43.849998,44.275002,43.650002,43.665001,5780400,21.676756
"2002-06-21",43.125,43.985001,43.125,43.825001,7010200,21.756191
"2002-06-24",44.075001,44.125,43.400002,43.615002,5817000,21.651941
"2002-06-25",44.224998,44.25,42.900002,43,5806400,21.346632
"2002-06-26",42.75,43.375,42.5,43.125,7006200,21.408684
"2002-06-27",43.125,43.884998,43.025002,43.814999,4627400,21.751225
"2002-06-28",44,44.375,43.799999,44.25,6140000,21.967169
"2002-07-01",44.25,44.384998,43.880001,44.299999,5722400,21.992001
"2002-07-02",44.299999,44.465,43.599998,43.900002,5273400,21.793427
"2002-07-03",43.875,44.145,43.075001,43.349998,5273800,21.520384
"2002-07-05",43.799999,43.950001,43.25,43.950001,3574600,21.818243
"2002-07-08",43.799999,44.049999,43.384998,44.040001,4338800,21.862917
"2002-07-09",43.924999,43.970001,43.174999,43.474998,3996000,21.58243
"2002-07-10",43.700001,43.715,42.125,42.435001,7150600,21.066151
"2002-07-11",42.439999,42.724998,41.25,41.325001,9164600,20.515097
"2002-07-12",41.5,41.674999,40.845001,41.400002,8075200,20.552332
"2002-07-15",41.075001,41.150002,38.555,40.375,10394400,20.043489
"2002-07-16",39.875,40.445,39.105,39.689999,8582800,19.703436
"2002-07-17",40.275002,40.849998,39.875,40.150002,7063600,19.931793
"2002-07-18",40.25,40.549999,39.264999,39.349998,5970800,19.534641
"2002-07-19",39.049999,39.23,36.5,37.25,12278400,18.492132
"2002-07-22",36.849998,37.450001,34.5,34.759998,12821800,17.256018
"2002-07-23",34.875,35.305,33.384998,33.48,13961600,16.620586
"2002-07-24",33.474998,35.474998,32.82,35.299999,15552600,17.524086
"2002-07-25",34.825001,35.275002,34.174999,34.849998,9921600,17.300705
"2002-07-26",34.974998,35.419998,34.419998,35.404999,6236600,17.576216
