"","SBUX.Open","SBUX.High","SBUX.Low","SBUX.Close","SBUX.Volume","SBUX.Adjusted"
"2001-05-30",4.9325,5.0875,4.9125,5.0225,18268000,4.305913
"2001-05-31",5.025,5.025,4.75,4.88,21777200,4.183743
"2001-06-01",5,5.025,4.7375,4.8975,17626400,4.198747
"2001-06-04",4.905,4.925,4.7625,4.7975,9192400,4.113015
"2001-06-05",4.805,4.975,4.7925,4.925,12728800,4.222325
"2001-06-06",4.9125,4.92,4.7475,4.805,11678800,4.119444
"2001-06-07",4.8125,4.95,4.75,4.85,8780800,4.158025
"2001-06-08",4.865,4.865,4.74,4.76,7491600,4.080866
"2001-06-11",4.77,4.8725,4.76,4.805,8884000,4.119444
"2001-06-12",4.7425,4.925,4.7325,4.8525,9898800,4.160167
"2001-06-13",4.875,5.025,4.85,4.89,12497600,4.192319
"2001-06-14",4.875,4.945,4.7875,4.7975,9846800,4.113015
"2001-06-15",4.8125,4.99,4.75,4.885,14706400,4.18803
"2001-06-18",4.8975,4.9975,4.85,4.925,10194000,4.222325
"2001-06-19",4.9775,5.1225,4.9575,5.0825,16414000,4.357354
"2001-06-20",5.065,5.27,5.0625,5.2425,15941600,4.494525
"2001-06-21",5.2225,5.8275,5.215,5.7125,48006000,4.897468
"2001-06-22",5.65,5.675,5.41,5.51,18416400,4.723858
"2001-06-25",5.5025,5.6025,5.48,5.5425,11852800,4.751724
"2001-06-26",5.44,5.5325,5.4,5.4725,8469200,4.691709
"2001-06-27",5.5025,5.55,5.3875,5.4825,11855200,4.700281
"2001-06-28",5.525,5.7875,5.505,5.6625,15813200,4.854602
"2001-06-29",5.5625,5.78,5.4625,5.75,14779600,4.929616
"2001-07-02",5.6225,5.725,5.5125,5.6925,16509200,4.880322
"2001-07-03",5.7125,5.7125,5.46,5.4975,10766800,4.713142
"2001-07-05",5.4875,5.5675,5.45,5.48,12316800,4.698139
"2001-07-06",5.2325,5.2325,5,5.12,37121200,4.389503
"2001-07-09",5.13,5.2675,5.11,5.235,19174400,4.488095
"2001-07-10",5.255,5.255,5.09,5.1075,26614000,4.378786
"2001-07-11",5.0925,5.2375,5.05,5.1725,23080000,4.434512
"2001-07-12",5.225,5.265,5.1375,5.175,24791600,4.436655
"2001-07-13",5.155,5.1675,5.075,5.125,20598000,4.393789
"2001-07-16",5.125,5.15,5.0125,5.0325,16228400,4.314487
"2001-07-17",5.035,5.0625,4.9625,5.015,14500400,4.299485
"2001-07-18",5.05,5.05,4.805,4.8875,16767200,4.190176
"2001-07-19",4.9525,5.0125,4.84,4.86,11521600,4.166598
"2001-07-20",4.865,5.1125,4.85,5.0625,15786000,4.340207
"2001-07-23",5.0725,5.145,4.8925,4.92,8145600,4.218039
"2001-07-24",4.9325,5.1175,4.8525,4.9625,10640000,4.254475
"2001-07-25",5.0075,5.0075,4.83,4.9025,14288800,4.203035
"2001-07-26",4.915,4.915,4.73,4.75,17114800,4.072292
"2001-07-27",4.5575,4.75,4.5125,4.6875,28154000,4.018709
"2001-07-30",4.705,4.7075,4.56,4.6,12901200,3.943694
"2001-07-31",4.6175,4.645,4.475,4.51,19498400,3.866535
"2001-08-01",4.5325,4.6375,4.5,4.6025,20592800,3.945837
"2001-08-02",4.625,4.6375,4.54,4.615,11591600,3.956553
"2001-08-03",4.5975,4.6125,4.365,4.46,21498400,3.823669
"2001-08-06",4.555,4.555,4.375,4.38,12118000,3.755082
"2001-08-07",4.42,4.55,4.375,4.4675,14546400,3.830097
"2001-08-08",4.4475,4.5225,4.3825,4.4,16750800,3.772228
"2001-08-09",4.3925,4.575,4.39,4.54,16073200,3.892254
"2001-08-10",4.54,4.625,4.4725,4.49,16063200,3.849389
"2001-08-13",4.5075,4.6375,4.4875,4.5825,9728800,3.928689
"2001-08-14",4.6175,4.6275,4.5,4.5025,11083200,3.860104
"2001-08-15",4.505,4.5725,4.4375,4.4475,10892400,3.812952
"2001-08-16",4.4375,4.52,4.37,4.52,12278800,3.875107
"2001-08-17",4.445,4.5575,4.385,4.49,11326400,3.849389
"2001-08-20",4.4975,4.71,4.49,4.675,11989200,4.007993
"2001-08-21",4.665,4.7725,4.625,4.71,12681200,4.038
"2001-08-22",4.69,4.725,4.6125,4.6975,12474000,4.027283
"2001-08-23",4.6675,4.7375,4.6375,4.675,13543600,4.007993
"2001-08-24",4.66,4.75,4.625,4.6375,16130000,3.975842
"2001-08-27",4.64,4.6475,4.585,4.6275,12818400,3.967269
"2001-08-28",4.6325,4.6525,4.425,4.46,15548800,3.823669
"2001-08-29",4.4775,4.51,4.3625,4.37,15358400,3.746509
"2001-08-30",4.3825,4.4975,4.35,4.3625,22136800,3.740079
"2001-08-31",4.23,4.41,4.2,4.2175,31194800,3.615767
"2001-09-04",4.215,4.33,4.115,4.12,19710400,3.532177
"2001-09-05",4.12,4.2175,4.0375,4.155,18485200,3.562185
"2001-09-06",4.1175,4.13,3.945,4.06,26344000,3.480738
"2001-09-07",4.04,4.21,4.0125,4.03,16452800,3.455019
"2001-09-10",3.9975,4.195,3.985,4.1125,19955600,3.525748
"2001-09-17",3.875,4.02,3.85,3.8775,31301600,3.324276
"2001-09-18",3.89,3.97,3.7925,3.9,14057600,3.343567
"2001-09-19",3.9125,4.0925,3.7525,3.825,23753200,3.279268
"2001-09-20",3.7825,3.805,3.61,3.6675,35646000,3.144238
"2001-09-21",3.445,3.63,3.365,3.57,39418400,3.060649
"2001-09-24",3.6475,3.785,3.59,3.7425,28482400,3.208538
"2001-09-25",3.765,3.7925,3.57,3.7625,19338800,3.225684
"2001-09-26",3.75,3.7575,3.49,3.5,17910000,3.000637
"2001-09-27",3.5125,3.6825,3.41,3.6325,13192400,3.114232
"2001-09-28",3.695,3.8025,3.605,3.735,15286400,3.202107
"2001-10-01",3.7,3.745,3.54,3.7,12856400,3.172102
"2001-10-02",3.6375,3.7725,3.5675,3.64,19926400,3.120661
"2001-10-03",3.63,3.985,3.6025,3.915,16256000,3.356426
"2001-10-04",3.9625,4.045,3.7,3.7675,38448400,3.229971
"2001-10-05",4.1025,4.32,4.0075,4.24,40668800,3.635057
"2001-10-08",4.1775,4.3125,4.1475,4.2675,11134800,3.658633
"2001-10-09",4.2525,4.28,4.0875,4.11,10286400,3.523604
"2001-10-10",4.16,4.3325,4.12,4.1975,11255200,3.598621
"2001-10-11",4.23,4.265,4.1275,4.255,16421600,3.647917
"2001-10-12",4.1875,4.1875,3.8375,4,25874400,3.429299
"2001-10-15",3.9725,4.1125,3.9175,4.1075,12568800,3.521461
"2001-10-16",4.1375,4.27,4.0875,4.2175,13238400,3.615767
"2001-10-17",4.3125,4.325,3.95,3.9725,18205200,3.405723
"2001-10-18",3.96,4.14,3.8875,4.075,14733200,3.493598
"2001-10-19",4.04,4.25,4.03,4.1525,13813200,3.560041
"2001-10-22",4.185,4.3425,4.12,4.3025,11846800,3.68864
"2001-10-23",4.35,4.4,4.2375,4.3,17464000,3.686496
"2001-10-24",4.31,4.4375,4.2825,4.345,16976400,3.725076
"2001-10-25",4.3225,4.475,4.21,4.4525,15873200,3.817238
"2001-10-26",4.42,4.4875,4.36,4.465,9687600,3.827953
"2001-10-29",4.4375,4.45,4.2125,4.2375,12180400,3.632913
"2001-10-30",4.19,4.375,4.0925,4.3325,16934000,3.714359
"2001-10-31",4.3425,4.4,4.2225,4.28,12156400,3.669349
"2001-11-01",4.2875,4.3825,4.2325,4.3225,13973200,3.705787
"2001-11-02",4.35,4.66,4.325,4.4725,25409200,3.834385
"2001-11-05",4.565,4.6675,4.5175,4.65,16546400,3.986559
"2001-11-06",4.5775,4.8625,4.5625,4.8175,19555600,4.130161
"2001-11-07",4.825,4.8875,4.67,4.75,13864800,4.072292
"2001-11-08",4.76,4.85,4.625,4.72,9529200,4.046573
"2001-11-09",4.755,4.7975,4.695,4.7575,10427600,4.078722
"2001-11-12",4.7775,4.7975,4.525,4.775,8524800,4.093726
"2001-11-13",4.7825,4.8375,4.6425,4.8275,11255200,4.138736
"2001-11-14",4.83,4.875,4.7,4.78,14279200,4.098013
"2001-11-15",4.765,4.8125,4.7325,4.7925,11527600,4.108728
"2001-11-16",4.5125,4.5625,4.2875,4.375,79164000,3.750797
"2001-11-19",4.3875,4.3925,4.2675,4.3475,22384400,3.727219
"2001-11-20",4.35,4.425,4.2875,4.345,17835200,3.725076
"2001-11-21",4.3525,4.4425,4.285,4.3275,12976000,3.710073
"2001-11-23",4.3275,4.3525,4.3,4.3275,2713200,3.710073
"2001-11-26",4.36,4.3725,4.2725,4.3425,15608000,3.722933
"2001-11-27",4.3125,4.3675,4.2625,4.2975,17587600,3.684354
"2001-11-28",4.2675,4.335,4.1875,4.2275,15805200,3.62434
"2001-11-29",4.25,4.255,4.17,4.225,14431600,3.622197
"2001-11-30",4.2675,4.4425,4.2275,4.43,23841600,3.797949
"2001-12-03",4.4075,4.7275,4.4,4.62,33618000,3.96084
"2001-12-04",4.63,4.925,4.6275,4.915,27789600,4.21375
"2001-12-05",4.915,4.9925,4.86,4.9775,28917600,4.267334
"2001-12-06",4.965,4.9675,4.865,4.885,13640000,4.18803
"2001-12-07",4.865,4.89,4.69,4.7375,13612400,4.061577
"2001-12-10",4.7275,4.8475,4.6875,4.78,13020000,4.098013
"2001-12-11",4.8125,4.9025,4.74,4.7575,9232800,4.078722
"2001-12-12",4.74,4.74,4.5475,4.685,18997200,4.016566
"2001-12-13",4.595,4.7375,4.565,4.6775,15620800,4.010137
"2001-12-14",4.65,4.895,4.65,4.8025,14090000,4.117301
"2001-12-17",4.8025,4.9125,4.8,4.88,12110800,4.183743
"2001-12-18",4.7475,4.88,4.695,4.8775,12603200,4.181601
"2001-12-19",4.8325,4.85,4.6875,4.775,10424400,4.093726
"2001-12-20",4.75,4.7625,4.595,4.6025,11459200,3.945837
"2001-12-21",4.625,4.785,4.5625,4.71,16509200,4.038
"2001-12-24",4.6875,4.775,4.665,4.715,2760800,4.042286
"2001-12-26",4.715,4.8125,4.6875,4.755,5840000,4.076578
"2001-12-27",4.7625,4.875,4.75,4.84,6976400,4.149451
"2001-12-28",4.855,4.9475,4.8375,4.875,6948000,4.179458
"2001-12-31",4.845,4.94,4.755,4.7625,9476800,4.083009
"2002-01-02",4.7775,4.895,4.75,4.8775,11298400,4.181601
"2002-01-03",4.8975,5.125,4.895,5.105,25148400,4.376643
"2002-01-04",5.4275,5.625,5.425,5.5275,62756400,4.738863
"2002-01-07",5.52,5.6225,5.4375,5.46,23204000,4.680993
"2002-01-08",5.47,5.7025,5.4625,5.6725,21871600,4.863174
"2002-01-09",5.7125,5.7425,5.4575,5.4675,18543600,4.687422
"2002-01-10",5.48,5.625,5.425,5.6175,17722000,4.816021
"2002-01-11",5.6125,5.64,5.4525,5.47,20484800,4.689566
"2002-01-14",5.47,5.505,5.39,5.475,18553600,4.693853
"2002-01-15",5.455,5.5025,5.4275,5.4775,14385600,4.695996
"2002-01-16",5.485,5.51,5.3,5.3125,11719600,4.554538
"2002-01-17",5.295,5.5025,5.295,5.5025,14024800,4.71743
"2002-01-18",5.52,5.5625,5.4025,5.4775,13901600,4.695996
"2002-01-22",5.485,5.525,5.3425,5.345,9051600,4.5824
"2002-01-23",5.415,5.7125,5.345,5.66,21312400,4.852458
"2002-01-24",5.755,5.8325,5.56,5.785,27716800,4.959624
"2002-01-25",5.85,5.85,5.6325,5.7125,20340400,4.897468
"2002-01-28",5.7175,5.7775,5.5875,5.72,9624000,4.903896
"2002-01-29",5.6875,5.73,5.5,5.58,13134000,4.783874
"2002-01-30",5.5525,5.72,5.525,5.69,16829600,4.878177
"2002-01-31",5.72,5.97,5.7075,5.9425,29612000,5.094653
"2002-02-01",5.9625,5.9625,5.625,5.7175,19589600,4.901754
"2002-02-04",5.705,5.7575,5.53,5.5725,13523200,4.777442
"2002-02-05",5.58,5.7325,5.51,5.5925,13014400,4.794589
"2002-02-06",5.6275,5.6625,5.39,5.445,13810000,4.668133
"2002-02-07",5.4775,5.5925,5.38,5.415,14914000,4.642412
"2002-02-08",5.425,5.5,5.3125,5.495,11180800,4.711
"2002-02-11",5.4975,5.5625,5.4225,5.45,11877600,4.672418
"2002-02-12",5.4425,5.485,5.375,5.3825,6969600,4.61455
"2002-02-13",5.4075,5.5125,5.375,5.5,6659600,4.715286
"2002-02-14",5.4875,5.5725,5.395,5.435,8359200,4.65956
"2002-02-15",5.465,5.5075,5.3775,5.39,6078000,4.62098
"2002-02-19",5.3375,5.47,5.2925,5.3375,7352800,4.575972
"2002-02-20",5.345,5.4375,5.31,5.4075,7732400,4.635983
"2002-02-21",5.3775,5.485,5.255,5.275,10444800,4.52239
"2002-02-22",5.2525,5.4775,5.205,5.4025,10674000,4.631696
"2002-02-25",5.385,5.56,5.3825,5.5375,11096800,4.747436
"2002-02-26",5.6125,5.6625,5.385,5.5775,13205600,4.78173
"2002-02-27",5.6175,5.705,5.565,5.61,14112400,4.809593
"2002-02-28",5.705,5.9,5.6775,5.7525,22622800,4.931761
"2002-03-01",5.89,5.94,5.7125,5.875,21678400,5.036784
"2002-03-04",5.91,6.0325,5.8,6.0175,23330400,5.158951
"2002-03-05",5.9925,6.0725,5.81,5.8675,15773200,5.030352
"2002-03-06",5.895,5.8975,5.73,5.785,16816800,4.959624
"2002-03-07",5.8025,5.85,5.7375,5.78,10128000,4.955338
"2002-03-08",5.7875,5.82,5.65,5.74,17586400,4.921044
"2002-03-11",5.75,5.87,5.6875,5.7125,13410000,4.897468
"2002-03-12",5.675,5.7375,5.5875,5.725,11203600,4.908185
"2002-03-13",5.665,5.8275,5.625,5.665,10560800,4.856744
"2002-03-14",5.6975,5.8825,5.695,5.835,13051600,5.002489
"2002-03-15",5.9625,5.99,5.8625,5.9375,13027200,5.090366
"2002-03-18",5.9625,6,5.8725,5.935,12272800,5.088223
"2002-03-19",5.9175,6.0075,5.915,5.965,8506000,5.113942
"2002-03-20",5.9375,6.1325,5.89,5.92,14892000,5.075362
"2002-03-21",5.9325,6,5.795,5.995,8948400,5.139662
"2002-03-22",5.9275,5.98,5.865,5.895,8623600,5.053929
"2002-03-25",5.89,5.955,5.7625,5.8,12520000,4.972485
"2002-03-26",5.76,5.935,5.715,5.8725,10365600,5.034639
"2002-03-27",5.81,5.9225,5.7575,5.8675,8839600,5.030352
"2002-03-28",5.875,5.885,5.7625,5.7825,8424000,4.95748
"2002-04-01",5.7675,5.8325,5.7025,5.825,8368800,4.993917
"2002-04-02",5.7975,5.88,5.7775,5.82,10630800,4.989631
"2002-04-03",5.8275,5.935,5.8125,5.8725,8858400,5.034639
"2002-04-04",5.815,5.99,5.815,5.97,12196800,5.118227
"2002-04-05",6.065,6.1325,5.995,6.01,12089600,5.152522
"2002-04-08",5.9075,6.1225,5.8975,6.1125,12412800,5.240398
"2002-04-09",6.115,6.245,6.0875,6.235,17052800,5.345419
"2002-04-10",6.2175,6.2875,6.19,6.265,17633600,5.37114
"2002-04-11",6.22,6.3425,6.2025,6.23,12921200,5.341133
"2002-04-12",6.2325,6.385,6.225,6.2925,13070400,5.394715
"2002-04-15",6.2825,6.36,6.1925,6.2775,12070800,5.381856
"2002-04-16",6.2975,6.385,6.27,6.345,11206000,5.439726
"2002-04-17",6.365,6.425,6.2875,6.4075,12312000,5.493308
"2002-04-18",6.41,6.42,6.24,6.35,11622400,5.444012
"2002-04-19",6.3725,6.375,6.235,6.245,9256800,5.353992
"2002-04-22",6.24,6.31,6.19,6.24,9154400,5.349706
"2002-04-23",6.265,6.32,6.26,6.2925,7819600,5.394715
"2002-04-24",6.3125,6.375,6.2925,6.295,10201600,5.396859
"2002-04-25",6.325,6.41,6.31,6.345,12388800,5.439726
"2002-04-26",6.3125,6.3125,5.8775,5.88,38074400,5.04107
"2002-04-29",5.89,6,5.7225,5.77,23403600,4.946765
"2002-04-30",5.7625,5.775,5.66,5.705,32667200,4.891037
"2002-05-01",5.7125,5.94,5.675,5.905,16536000,5.062504
"2002-05-02",5.9275,5.995,5.835,5.9125,14216400,5.068932
"2002-05-03",5.9475,6.0425,5.84,5.8675,14090400,5.030352
"2002-05-06",5.8675,5.8975,5.6375,5.665,10545200,4.856744
"2002-05-07",5.6725,5.8,5.6275,5.7,14600400,4.886749
"2002-05-08",5.7425,5.7475,5.55,5.6875,25452400,4.876035
"2002-05-09",5.6725,5.705,5.5775,5.6025,12622800,4.803161
"2002-05-10",5.6075,5.6475,5.505,5.505,14835600,4.719573
"2002-05-13",5.555,5.625,5.5025,5.6175,19186800,4.816021
"2002-05-14",5.725,5.94,5.675,5.8975,22885200,5.056072
"2002-05-15",5.9,6.05,5.855,5.97,16771200,5.118227
"2002-05-16",5.975,6.0375,5.9025,5.97,8886800,5.118227
"2002-05-17",6.0425,6.1125,5.9475,6.015,8931600,5.156807
"2002-05-20",5.815,5.875,5.7575,5.8275,20007200,4.996059
"2002-05-21",5.8575,5.925,5.7375,5.7625,16362800,4.940334
"2002-05-22",5.7475,5.7925,5.625,5.715,11074800,4.899611
"2002-05-23",5.7375,5.795,5.6175,5.7225,12664400,4.906041
"2002-05-24",5.7225,5.735,5.605,5.6075,11109200,4.807448
"2002-05-28",5.71,5.7175,5.4825,5.5275,12626400,4.738863
"2002-05-29",5.64,5.8,5.635,5.745,22387200,4.92533
"2002-05-30",5.8,5.9,5.7875,5.8925,17188800,5.051785
"2002-05-31",6.0175,6.125,5.9975,6.07,25678000,5.20396
"2002-06-03",6.075,6.0875,5.8875,5.9175,17960400,5.073219
"2002-06-04",5.9,6.08,5.875,6.055,18070000,5.191101
"2002-06-05",6.085,6.2625,6.0625,6.245,23107600,5.353992
"2002-06-06",6.25,6.25,6.08,6.0875,17029600,5.218964
"2002-06-07",6.1525,6.255,6.13,6.2275,25134800,5.338991
"2002-06-10",6.24,6.24,6.1125,6.1575,9912400,5.278977
"2002-06-11",6.2175,6.2375,5.935,5.98,14983600,5.126801
"2002-06-12",5.97,6.1375,5.95,6.0975,16124400,5.227538
"2002-06-13",6.0475,6.055,5.9,5.93,11985600,5.083937
"2002-06-14",5.8925,5.925,5.61,5.91,17037600,5.066788
"2002-06-17",5.915,6.115,5.875,6.0775,11302000,5.210392
"2002-06-18",6.01,6.185,6.0025,6.1175,12568000,5.244684
"2002-06-19",6.0775,6.18,6.0625,6.11,11967600,5.238255
"2002-06-20",6.1975,6.325,6.1,6.2475,27260000,5.356135
"2002-06-21",6.2025,6.3075,6.0925,6.18,26127600,5.298267
"2002-06-24",6.12,6.2575,5.9925,6.1875,16188000,5.304697
"2002-06-25",6.245,6.245,6.0525,6.125,19342400,5.251113
"2002-06-26",6.025,6.14,5.7625,6.1225,25328000,5.24897
"2002-06-27",6.1725,6.255,5.9575,6.2425,17732800,5.351848
"2002-06-28",6.25,6.28,6.13,6.2125,15729200,5.326129
"2002-07-01",6.105,6.24,6.0725,6.09,11916800,5.221108
"2002-07-02",6.065,6.19,5.8725,5.88,26607600,5.04107
"2002-07-03",5.8625,5.97,5.7,5.79,17630400,4.963911
"2002-07-05",5.8975,6.01,5.825,5.96,8095600,5.109655
"2002-07-08",5.9775,6.0075,5.595,5.9075,15284000,5.064646
"2002-07-09",5.8375,5.8925,5.6425,5.6725,22216000,4.863174
"2002-07-10",5.7,5.825,5.58,5.6275,16889600,4.824595
"2002-07-11",5.5475,5.6525,5.38,5.5975,22029600,4.798876
"2002-07-12",5.675,5.7,5.41,5.4975,17730800,4.713142
"2002-07-15",5.4625,5.5625,5.0575,5.5425,30284000,4.751724
"2002-07-16",5.535,5.5925,5.2325,5.305,23519200,4.548108
"2002-07-17",5.435,5.4375,5.1975,5.35,17574000,4.586688
"2002-07-18",5.3425,5.4675,5.2025,5.24,17374800,4.492382
"2002-07-19",5.1475,5.175,4.975,5.025,17306400,4.308057
"2002-07-22",5.005,5.0825,4.61,4.905,21996800,4.205177
"2002-07-23",4.8725,4.9375,4.68,4.7175,30248000,4.044429
"2002-07-24",4.7025,5.3525,4.685,5.27,32798800,4.518101
"2002-07-25",5.165,5.175,4.8,5.0025,33250000,4.288766
"2002-07-26",5.1525,5.1675,4.675,4.875,37261600,4.179458
"2002-07-29",4.985,5.0825,4.94,5.0775,21252000,4.353067
"2002-07-30",5.0725,5.08,4.8775,4.93,21841200,4.226611
"2002-07-31",4.915,4.94,4.815,4.9075,15476800,4.20732
"2002-08-01",4.88,4.92,4.7075,4.71,17660000,4.038
