"","GILD.Open","GILD.High","GILD.Low","GILD.Close","GILD.Volume","GILD.Adjusted"
"2001-03-26",1.847656,2.027344,1.84375,2.007813,29200000,1.79188
"2001-03-27",2.003906,2.030273,1.910156,1.996094,15516800,1.781422
"2001-03-28",1.96875,2.039063,1.960938,2,17827200,1.784908
"2001-03-29",2,2.148438,1.929688,2.007813,22908800,1.79188
"2001-03-30",2.011719,2.0625,1.992188,2.03125,14294400,1.812797
"2001-04-02",2.033203,2.058594,1.835938,1.910156,25326400,1.704726
"2001-04-03",1.875,1.902344,1.800781,1.839844,17044800,1.641976
"2001-04-04",1.839844,1.933594,1.808594,1.824219,12929600,1.628031
"2001-04-05",1.890625,1.992188,1.851563,1.988281,20753600,1.774449
"2001-04-06",1.976563,2.113281,1.910156,2.011719,19417600,1.795366
"2001-04-09",2.015625,2.133125,2.004375,2.113125,13137600,1.885867
"2001-04-10",2.119375,2.29,2.114375,2.268125,43772800,2.024197
"2001-04-11",2.3,2.30375,2.186875,2.23375,25352000,1.993519
"2001-04-12",2.245,2.429375,2.215625,2.41,23422400,2.150814
"2001-04-16",2.388125,2.449375,2.319375,2.3625,22400000,2.108423
"2001-04-17",2.365625,2.45625,2.325,2.4525,15897600,2.188743
"2001-04-18",2.47,2.578125,2.463125,2.5625,32326400,2.286913
"2001-04-19",2.56875,2.635625,2.5,2.629375,19140800,2.346596
"2001-04-20",2.594375,2.619375,2.513125,2.52625,18073600,2.254561
"2001-04-23",2.5,2.5425,2.39,2.39625,13305600,2.138543
"2001-04-24",2.394375,2.41,2.290625,2.304375,16043200,2.056549
"2001-04-25",2.3225,2.490625,2.3225,2.4525,22035200,2.188743
"2001-04-26",2.453125,2.728125,2.453125,2.605625,35606400,2.3254
"2001-04-27",2.671875,2.85375,2.6625,2.84875,46368000,2.542378
"2001-04-30",2.81875,3.116875,2.811875,3.06125,54358400,2.732025
"2001-05-01",3.066875,3.146875,2.975,3.130625,36360000,2.793939
"2001-05-02",3.136875,3.203125,3.0375,3.08875,61388800,2.756567
"2001-05-03",3.01375,3.02875,2.92625,2.988125,32820800,2.666764
"2001-05-04",2.9775,3.164375,2.930625,3.15875,14632000,2.819039
"2001-05-07",3.159375,3.386875,3.128125,3.196875,31049600,2.853064
"2001-05-08",3.225,3.278125,3.0625,3.13,19702400,2.793381
"2001-05-09",3.08125,3.259375,3.0775,3.1,18868800,2.766607
"2001-05-10",3.134375,3.215625,3.009375,3.031875,19566400,2.705808
"2001-05-11",3.043125,3.13375,3.00125,3.046875,10113600,2.719195
"2001-05-14",3.053125,3.07625,2.96875,3.000625,8953600,2.677919
"2001-05-15",3.000625,3.11875,2.90125,2.9075,19926400,2.59481
"2001-05-16",2.898125,3.346875,2.86375,3.2975,49984000,2.942866
"2001-05-17",3.3075,3.62375,3.29875,3.62125,61409600,3.231799
"2001-05-18",3.615625,3.61625,3.296875,3.371875,68102400,3.009243
"2001-05-21",3.363125,3.75,3.356875,3.741875,44356800,3.339451
"2001-05-22",3.72875,3.741875,3.59375,3.616875,24835200,3.227894
"2001-05-23",3.61,3.615625,3.309375,3.3125,35392000,2.956253
"2001-05-24",3.196875,3.396875,3.15,3.396875,58017600,3.031555
"2001-05-25",3.38125,3.46875,3.3625,3.403125,24172800,3.037132
"2001-05-29",3.36875,3.375,3.27,3.29625,25536000,2.941751
"2001-05-30",3.25125,3.355625,3.17625,3.176875,25492800,2.835215
"2001-05-31",3.188125,3.319375,3.15625,3.234375,33379200,2.88653
"2001-06-01",3.265625,3.484375,3.209375,3.48,30720000,3.105739
"2001-06-04",3.484375,3.61875,3.465,3.60625,28544000,3.218412
"2001-06-05",3.606875,3.718125,3.5625,3.58125,28766400,3.1961
"2001-06-06",3.585,3.608125,3.38,3.40625,27240000,3.039921
"2001-06-07",3.385,3.50875,3.33875,3.36125,20030400,2.999761
"2001-06-08",3.378125,3.378125,3.233125,3.246875,23390400,2.897686
"2001-06-11",3.248125,3.255625,3.0625,3.101875,22374400,2.768281
"2001-06-12",3.075625,3.180625,2.953125,3.134375,26771200,2.797286
"2001-06-13",3.19125,3.245625,3.136875,3.149375,22227200,2.810672
"2001-06-14",3.140625,3.1425,3.000625,3.06625,13544000,2.736487
"2001-06-15",3.125,3.234375,3.040625,3.22375,43027200,2.877048
"2001-06-18",3.25,3.355,3.1875,3.203125,33056000,2.858641
"2001-06-19",3.25,3.315625,3.159375,3.2475,24766400,2.898244
"2001-06-20",3.259375,3.59125,3.25875,3.59,52390400,3.20391
"2001-06-21",3.546875,3.64,3.515625,3.6,48112000,3.212834
"2001-06-22",3.621875,3.8375,3.5125,3.820625,48728000,3.409731
"2001-06-25",3.790625,3.809375,3.546875,3.595,40249600,3.208371
"2001-06-26",3.5625,3.671875,3.496875,3.621875,24339200,3.232356
"2001-06-27",3.61625,3.76,3.608125,3.719375,23411200,3.319371
"2001-06-28",3.75,3.8725,3.703125,3.7475,50544000,3.344471
"2001-06-29",3.775,3.8075,3.48875,3.636875,13601600,3.245743
"2001-07-02",3.65625,3.75,3.546875,3.60375,26808000,3.216181
"2001-07-03",3.59,3.688125,3.559375,3.635,22038400,3.24407
"2001-07-05",3.640625,3.683125,3.545,3.55875,16915200,3.17602
"2001-07-06",3.546875,3.574375,3.44375,3.4825,21524800,3.107971
"2001-07-09",3.471875,3.609375,3.471875,3.514375,27235200,3.136418
"2001-07-10",3.5125,3.528125,3.381875,3.40625,40697600,3.039921
"2001-07-11",3.37125,3.375,3.15,3.3075,21601600,2.951791
"2001-07-12",3.261875,3.355,3.175,3.34375,14872000,2.984143
"2001-07-13",3.324375,3.6,3.315625,3.539375,21432000,3.15873
"2001-07-16",3.54,3.555625,3.09375,3.09375,47587200,2.761029
"2001-07-17",3.14125,3.28125,3.140625,3.26375,25587200,2.912746
"2001-07-18",3.256875,3.480625,3.251875,3.4,34240000,3.034343
"2001-07-19",3.45625,3.46875,3.30625,3.314375,18673600,2.957927
"2001-07-20",3.33875,3.415625,3.300625,3.376875,12840000,3.013705
"2001-07-23",3.380625,3.4775,3.29375,3.30625,13001600,2.950676
"2001-07-24",3.305625,3.33125,3.09625,3.12375,33152000,2.787803
"2001-07-25",3.12875,3.3075,3.08125,3.176875,18169600,2.835215
"2001-07-26",3.175625,3.44125,3.175,3.42125,19180800,3.053308
"2001-07-27",3.240625,3.384375,3.21625,3.37875,41784000,3.015379
"2001-07-30",3.34375,3.36875,3.13125,3.194375,26702400,2.850833
"2001-07-31",3.196875,3.23125,3.0825,3.205625,19769600,2.860872
"2001-08-01",3.2,3.215,3.144375,3.18125,16008000,2.839119
"2001-08-02",3.185,3.25625,2.956875,3.1125,22876800,2.777762
"2001-08-03",3.131875,3.29625,3.103125,3.286875,16446400,2.933384
"2001-08-06",3.29375,3.30875,3.203125,3.224375,10548800,2.877606
"2001-08-07",3.225,3.23,3.1,3.178125,15892800,2.83633
"2001-08-08",3.185625,3.214375,3.009375,3.02125,17894400,2.696327
"2001-08-09",3.003125,3.029375,2.85625,3.003125,36788800,2.680151
"2001-08-10",2.99375,3.0375,2.9375,2.99875,14108800,2.676246
"2001-08-13",3.009375,3.178125,2.99375,3.168125,13208000,2.827405
"2001-08-14",3.171875,3.2325,3.15125,3.18625,20406400,2.843582
"2001-08-15",3.184375,3.29125,3.14625,3.250625,29171200,2.901033
"2001-08-16",3.235,3.249375,3.13125,3.24625,13700800,2.897128
"2001-08-17",3.17875,3.195625,3.061875,3.09375,22878400,2.761029
"2001-08-20",3.09375,3.19625,3.021875,3.19125,13158400,2.848043
"2001-08-21",3.201875,3.34375,3.2,3.234375,17484800,2.88653
"2001-08-22",3.26375,3.4375,3.1775,3.435,21414400,3.065579
"2001-08-23",3.43125,3.739375,3.430625,3.6775,61936000,3.281999
"2001-08-24",3.67625,3.81875,3.640625,3.781875,41798400,3.375149
"2001-08-27",3.765625,3.968125,3.75125,3.86,38153600,3.444872
"2001-08-28",3.8875,3.9,3.771875,3.815625,23424000,3.405269
"2001-08-29",3.825,3.903125,3.7425,3.846875,31905600,3.433159
"2001-08-30",3.81375,3.89375,3.760625,3.859375,25155200,3.444314
"2001-08-31",3.8475,3.860625,3.665625,3.794375,19608000,3.386305
"2001-09-04",3.765,3.93125,3.7625,3.793125,21150400,3.385189
"2001-09-05",3.80625,3.80625,3.70125,3.731875,24249600,3.330526
"2001-09-06",3.75625,3.828125,3.66875,3.768125,29342400,3.362878
"2001-09-07",3.746875,3.759375,3.6,3.678125,27328000,3.282557
"2001-09-10",3.65625,3.759375,3.543125,3.61875,28556800,3.229568
"2001-09-17",3.514375,3.554375,3.26625,3.310625,37313600,2.954581
"2001-09-18",3.31625,3.36875,3.0375,3.065625,29814400,2.735929
"2001-09-19",3.12875,3.175,2.8875,3.140625,74510400,2.802863
"2001-09-20",3.06875,3.24625,3.03625,3.19125,36105600,2.848043
"2001-09-21",3.071875,3.1375,2.86875,2.97875,52030400,2.658397
"2001-09-24",3.051875,3.109375,2.91625,3.02875,36628800,2.703019
"2001-09-25",3.088125,3.296875,3.08625,3.27375,66969600,2.921671
"2001-09-26",3.306875,3.426875,3.278125,3.390625,54180800,3.025977
"2001-09-27",3.390625,3.6025,3.345,3.55125,53083200,3.169327
"2001-09-28",3.66875,3.68125,3.456875,3.510625,74700800,3.133071
"2001-10-01",3.4825,3.6,3.409375,3.53875,58582400,3.158171
"2001-10-02",3.53875,3.53875,3.53875,3.53875,0,3.158171
"2001-10-03",3.53875,3.53875,3.53875,3.53875,0,3.158171
"2001-10-04",3.81,3.8125,3.52875,3.655625,264190400,3.262477
"2001-10-05",3.628125,3.669375,3.5575,3.560625,66057600,3.177694
"2001-10-08",3.569375,3.60625,3.513125,3.5625,25304000,3.179367
"2001-10-09",3.56625,3.72625,3.565625,3.67875,45464000,3.283115
"2001-10-10",3.70625,3.953125,3.68125,3.925,67321600,3.502882
"2001-10-11",3.9925,4.080625,3.85125,3.94125,61715200,3.517384
"2001-10-12",3.86875,3.92,3.765625,3.884375,26948800,3.466626
"2001-10-15",3.878125,4.045625,3.871875,4.0125,24689600,3.580971
"2001-10-16",4.04375,4.07375,3.875,3.933125,22945600,3.510133
"2001-10-17",3.969375,3.971875,3.73375,3.7425,29340800,3.340009
"2001-10-18",3.759375,3.975,3.75,3.925,53764800,3.502882
"2001-10-19",3.903125,4.076875,3.866875,4.065,34440000,3.627825
"2001-10-22",4.069375,4.29375,4.03125,4.2275,52608000,3.772849
"2001-10-23",4.253125,4.284375,4.065625,4.13125,46595200,3.68695
"2001-10-24",4.1325,4.29375,4.034375,4.290625,48755200,3.829186
"2001-10-25",4.271875,4.321875,4.15625,4.3,41472000,3.837552
"2001-10-26",4.15625,4.386875,4.131875,4.23,86025600,3.775079
"2001-10-29",4.305625,4.38125,4.086875,4.096875,88803200,3.656272
"2001-10-30",3.965625,4.12125,3.90625,4.03875,56276800,3.604399
"2001-10-31",4.055625,4.0875,3.91375,3.93125,39950400,3.508459
"2001-11-01",3.931875,3.999375,3.87,3.951875,43395200,3.526866
"2001-11-02",3.951875,4.036875,3.89125,3.911875,33817600,3.491168
"2001-11-05",3.94625,4.109375,3.944375,4.08875,25080000,3.649021
"2001-11-06",4.086875,4.104375,3.9725,4.090625,36272000,3.650694
"2001-11-07",4.088125,4.260625,4.0875,4.1725,58030400,3.723764
"2001-11-08",4.196875,4.2275,4.118125,4.13875,35985600,3.693644
"2001-11-09",4.14125,4.145,3.950625,4.013125,24452800,3.581529
"2001-11-12",4.00625,4.021875,3.893125,3.980625,27673600,3.552524
"2001-11-13",4.0275,4.24375,4.0275,4.23,29620800,3.775079
"2001-11-14",4.253125,4.2925,4.129375,4.2125,27617600,3.759462
"2001-11-15",4.19375,4.296875,4.14,4.209375,26569600,3.756673
"2001-11-16",4.21875,4.294375,4.203125,4.26625,18560000,3.807432
"2001-11-19",4.289375,4.39875,4.26625,4.376875,41169600,3.906159
"2001-11-20",4.364375,4.375,4.225,4.2475,20438400,3.790699
"2001-11-21",4.2375,4.321875,4.23125,4.304375,19144000,3.841456
"2001-11-23",4.3125,4.340625,4.265,4.325,4876800,3.859863
"2001-11-26",4.340625,4.50875,4.325,4.455625,43017600,3.97644
"2001-11-27",4.43375,4.604375,4.396875,4.5,35038400,4.016043
"2001-11-28",4.48125,4.5025,4.309375,4.328125,27323200,3.862652
"2001-11-29",4.303125,4.463125,4.254375,4.45875,34976000,3.979228
"2001-11-30",4.455,4.524375,4.44125,4.513125,15769600,4.027757
"2001-12-03",4.371875,4.440625,4.35625,4.3575,24224000,3.888868
"2001-12-04",4.35375,4.389375,4.27125,4.318125,22852800,3.853727
"2001-12-05",4.32875,4.35,4.2125,4.2325,39849600,3.777312
"2001-12-06",4.25,4.338125,4.228125,4.28375,30240000,3.82305
"2001-12-07",4.2625,4.30625,4.140625,4.28125,44913600,3.820819
"2001-12-10",4.224375,4.246875,4.075,4.076875,25428800,3.638424
"2001-12-11",4.105625,4.168125,4.01125,4.024375,28816000,3.591569
"2001-12-12",4.004375,4.091875,3.85125,4.043125,29809600,3.608303
"2001-12-13",4.025,4.215625,4.01,4.15375,29755200,3.707031
"2001-12-14",4.134375,4.20875,4.038125,4.13875,24131200,3.693644
"2001-12-17",4.149375,4.31875,4.14125,4.3,17112000,3.837552
"2001-12-18",4.29875,4.355,4.21,4.280625,14518400,3.82026
"2001-12-19",4.278125,4.30625,4.1625,4.1975,17012800,3.746076
"2001-12-20",4.19125,4.246875,4.046875,4.05,23936000,3.614439
"2001-12-21",4.005625,4.1625,3.953125,4.085625,30259200,3.646232
"2001-12-24",4.1375,4.26375,4.134375,4.165625,10609600,3.717629
"2001-12-26",4.18375,4.24625,4.150625,4.17625,10777600,3.727111
"2001-12-27",4.185625,4.2125,4.021875,4.07,16764800,3.632288
"2001-12-28",4.08,4.238125,4.07,4.171875,12961600,3.723206
"2001-12-31",4.18125,4.259375,4.0975,4.1075,28388800,3.665754
"2002-01-02",4.064375,4.0675,3.7875,3.839375,83772800,3.426465
"2002-01-03",3.843125,3.92875,3.651875,3.664375,74672000,3.270286
"2002-01-04",3.65875,3.85,3.619375,3.8375,64939200,3.424792
"2002-01-07",4.0025,4.0125,3.821875,3.845,57992000,3.431486
"2002-01-08",3.86,3.990625,3.840625,3.99,38624000,3.560891
"2002-01-09",4.071875,4.184375,4.0625,4.113125,59460800,3.670774
"2002-01-10",4.1375,4.3,4.1225,4.23625,52988800,3.780658
"2002-01-11",4.29375,4.354375,4.293125,4.32,35526400,3.855401
"2002-01-14",4.32625,4.3675,4.253125,4.29375,47707200,3.831974
"2002-01-15",4.291875,4.328125,4.2025,4.309375,46972800,3.845918
"2002-01-16",4.309375,4.384375,4.285,4.319375,48488000,3.854844
"2002-01-17",4.24,4.446875,4.18625,4.38875,69851200,3.916757
"2002-01-18",4.39375,4.4375,4.079375,4.10875,61004800,3.66687
"2002-01-22",4.10375,4.2125,4.028125,4.194375,48814400,3.743286
"2002-01-23",4.2,4.303125,4.103125,4.290625,29366400,3.829186
"2002-01-24",4.30375,4.375,4.1475,4.21375,32852800,3.760577
"2002-01-25",4.205,4.25,4.13625,4.22875,22369600,3.773964
"2002-01-28",4.251875,4.3025,4.179375,4.235625,28776000,3.780099
"2002-01-29",4.2375,4.279375,4.07375,4.109375,21587200,3.667428
"2002-01-30",4.11125,4.21,4.019375,4.1875,36268800,3.73715
"2002-01-31",4.215625,4.335625,4.081875,4.08875,41329600,3.649021
"2002-02-01",4.12625,4.403125,4.125625,4.363125,73140800,3.893889
"2002-02-04",4.336875,4.340625,4.0625,4.109375,39176000,3.667428
"2002-02-05",4.1275,4.296875,4.085,4.149375,40156800,3.703126
"2002-02-06",4.1575,4.194375,3.86375,3.90375,39780800,3.483917
"2002-02-07",3.91625,4.068125,3.860625,3.959375,56168000,3.53356
"2002-02-08",3.94125,4.1875,3.940625,4.18,42244800,3.730457
"2002-02-11",4.18625,4.28,4.171875,4.22625,32396800,3.771734
"2002-02-12",4.20125,4.3375,4.18,4.266875,35689600,3.807989
"2002-02-13",4.2875,4.32375,4.196875,4.20625,26356800,3.753884
"2002-02-14",4.225,4.2975,4.084375,4.09,24196800,3.650136
"2002-02-15",4.121875,4.145625,4.046875,4.10875,18996800,3.66687
"2002-02-19",4.05625,4.0625,3.9375,4.031875,31628800,3.598263
"2002-02-20",4.11875,4.228125,4.00875,4.18625,42590400,3.736036
"2002-02-21",4.18125,4.284375,4.125,4.19125,57291200,3.740498
"2002-02-22",4.190625,4.2275,4.078125,4.155625,27334400,3.708703
"2002-02-25",4.196875,4.246875,4.14375,4.2175,41276800,3.763925
"2002-02-26",4.234375,4.346875,4.21875,4.308125,28574400,3.844803
"2002-02-27",4.3625,4.4775,4.32875,4.338125,48984000,3.871577
"2002-02-28",4.35,4.473125,4.3225,4.40375,39945600,3.930144
"2002-03-01",4.378125,4.653125,4.2725,4.609375,43006400,4.113655
"2002-03-04",4.625,4.715,4.605625,4.65,49518400,4.149911
"2002-03-05",4.635,4.7375,4.555625,4.561875,47147200,4.071262
"2002-03-06",4.438125,4.590625,4.43125,4.575,62980800,4.082976
"2002-03-07",4.56875,4.595,4.43875,4.4825,44761600,4.000424
"2002-03-08",4.535,4.6375,4.38375,4.515,20608800,4.029429
"2002-03-11",4.49375,4.575,4.4375,4.5125,14531200,4.027198
"2002-03-12",4.47375,4.5275,4.41625,4.4675,10546400,3.987037
"2002-03-13",4.50125,4.63125,4.4375,4.56,13940800,4.069591
"2002-03-14",4.57375,4.6525,4.46875,4.46875,14566400,3.988154
"2002-03-15",4.55625,4.55625,4.45,4.49875,18648800,4.014927
"2002-03-18",4.58,4.6975,4.5375,4.675,25471200,4.172222
"2002-03-19",4.75625,4.875,4.69625,4.8175,28681600,4.299396
"2002-03-20",4.775,4.80875,4.66375,4.66625,18408800,4.164413
"2002-03-21",4.55625,4.83125,4.48625,4.80625,28693600,4.289357
"2002-03-22",4.7925,4.84375,4.6575,4.66375,17740800,4.162181
"2002-03-25",4.6575,4.66875,4.5025,4.52625,20594400,4.039469
"2002-03-26",4.53,4.62,4.41625,4.565,21471200,4.074053
"2002-03-27",4.575,4.7,4.54375,4.675,18168800,4.172222
"2002-03-28",4.6875,4.68875,4.465,4.49875,15685600,4.014927
"2002-04-01",4.46875,4.6075,4.4325,4.5625,15008800,4.071821
"2002-04-02",4.5325,4.63125,4.50375,4.50875,14102400,4.023851
"2002-04-03",4.61125,4.61125,4.37625,4.42375,17757600,3.947993
"2002-04-04",4.36875,4.55125,4.295,4.3625,24841600,3.89333
"2002-04-05",4.36625,4.42125,4.25,4.30375,19705600,3.840899
"2002-04-08",4.295,4.35375,4.16875,4.34875,18256000,3.881058
"2002-04-09",4.3775,4.4125,4.17125,4.2125,19488800,3.759462
"2002-04-10",4.2625,4.485,4.26125,4.47375,19844800,3.992615
"2002-04-11",4.48125,4.58125,4.4175,4.43625,16122400,3.959149
"2002-04-12",4.4375,4.495,4.32375,4.45875,15109600,3.979228
"2002-04-15",4.475,4.55375,4.33625,4.50375,10322400,4.019389
"2002-04-16",4.55125,4.6225,4.48625,4.5625,18048000,4.071821
"2002-04-17",4.6,4.63375,4.295,4.425,16562400,3.949109
"2002-04-18",4.4875,4.49625,4.2325,4.435,25990400,3.958033
"2002-04-19",4.45125,4.5375,4.34375,4.4075,14176800,3.93349
"2002-04-22",4.39,4.39125,4.1075,4.265,26055200,3.806317
"2002-04-23",4.22625,4.305,4.14375,4.2125,22449600,3.759462
"2002-04-24",4.23625,4.3125,4.16625,4.2825,19804000,3.821934
"2002-04-25",4.2825,4.3625,3.93125,3.99875,39519200,3.5687
"2002-04-26",4.0125,4.05,3.6025,3.63,65795200,3.239608
"2002-04-29",3.65,3.7,3.50625,3.64125,35923200,3.249648
"2002-04-30",3.61125,3.9675,3.52,3.89,53964800,3.471646
"2002-05-01",4.07,4.25875,4.07,4.1375,70383200,3.692529
"2002-05-02",4.10125,4.21,4.085,4.1125,28734400,3.670217
"2002-05-03",4.08625,4.0875,3.89125,3.995,33371200,3.565353
"2002-05-06",3.99375,4,3.70625,3.73,31269600,3.328853
"2002-05-07",3.79125,3.90625,3.79125,3.8475,25175200,3.433716
"2002-05-08",4.075,4.365,4.03125,4.3525,40427200,3.884405
"2002-05-09",4.3375,4.4225,4.21875,4.25,28360000,3.792929
"2002-05-10",4.26125,4.275,3.9925,4.07375,20476000,3.635634
"2002-05-13",4.08125,4.37375,4.07375,4.31875,27251200,3.854285
"2002-05-14",4.49875,4.7,4.46,4.6975,51308000,4.192302
"2002-05-15",4.6375,4.7625,4.54375,4.64875,42401600,4.148794
"2002-05-16",4.64375,4.645,4.42375,4.5225,31129600,4.036123
"2002-05-17",4.5725,4.64,4.49375,4.61875,18528000,4.122022
"2002-05-20",4.6,4.6375,4.47,4.54375,18822400,4.055088
"2002-05-21",4.585,4.65625,4.385,4.43125,22634400,3.954687
"2002-05-22",4.41625,4.475,4.315,4.4125,20817600,3.937954
"2002-05-23",4.42375,4.76875,4.3375,4.75,24555200,4.239156
"2002-05-24",4.725,4.74875,4.56375,4.63125,24968800,4.133177
"2002-05-28",4.65,4.74875,4.47625,4.74375,23564800,4.233578
"2002-05-29",4.715,4.77375,4.1925,4.41875,65180800,3.943531
"2002-05-30",4.52,4.6125,4.37875,4.60125,29335200,4.106403
"2002-05-31",4.5725,4.635,4.44375,4.4575,19960000,3.978113
"2002-06-03",4.48125,4.57375,4.27,4.28625,17789600,3.82528
"2002-06-04",4.27375,4.4275,4.1575,4.29375,30029600,3.831974
"2002-06-05",4.31,4.43125,4.195,4.28,21641600,3.819703
"2002-06-06",4.265,4.275,3.9675,4.005,24182400,3.574278
"2002-06-07",3.875,4.0175,3.74125,3.99875,38385600,3.5687
"2002-06-10",4,4.2375,3.9875,4.11375,24237600,3.671333
"2002-06-11",4.13375,4.18125,3.765,3.8125,31561600,3.402481
"2002-06-12",3.8025,3.905,3.66375,3.80375,35413600,3.394671
"2002-06-13",3.8125,3.99375,3.78625,3.9175,24829600,3.496188
"2002-06-14",3.8975,4.2175,3.8,4.11625,32278400,3.673563
"2002-06-17",4.14375,4.4875,4.1325,4.4825,43168800,4.000424
"2002-06-18",4.42625,4.5125,4.3625,4.4375,33316000,3.960264
"2002-06-19",4.4075,4.54,4.35875,4.36125,31474400,3.892214
"2002-06-20",4.32875,4.33375,4.08,4.09875,29532000,3.657945
"2002-06-21",4.06875,4.14625,3.8875,3.8975,37153600,3.478339
"2002-06-24",3.88875,4.26375,3.88375,4.14,35714400,3.694759
"2002-06-25",4.14375,4.29125,3.99875,4.01875,27877600,3.58655
"2002-06-26",3.8875,4.18625,3.805,4.0875,38527200,3.647906
"2002-06-27",4.14375,4.1875,3.945,4.06,31277600,3.623363
"2002-06-28",4.09,4.23125,4.07875,4.11,28886400,3.667986
"2002-07-01",4.1,4.1125,3.765,3.7875,41768000,3.38017
"2002-07-02",3.64375,3.7525,3.45,3.49,57622400,3.114664
"2002-07-03",3.5075,3.65625,3.3625,3.655,35209600,3.261919
"2002-07-05",3.71625,3.87125,3.7125,3.86125,12375200,3.445988
"2002-07-08",3.86625,4.025,3.79375,3.80625,26322400,3.396903
"2002-07-09",3.82875,3.8925,3.66875,3.69875,20784000,3.300964
"2002-07-10",3.6825,3.72,3.3,3.31875,46590400,2.961832
"2002-07-11",3.325,3.60125,3.26,3.56875,45236000,3.184945
"2002-07-12",3.63125,3.705,3.3825,3.6225,37720800,3.232915
"2002-07-15",3.625,3.68,3.36125,3.68,28074400,3.28423
