"","CAG.Open","CAG.High","CAG.Low","CAG.Close","CAG.Volume","CAG.Adjusted"
"2001-04-19",15.712062,15.758755,15.571984,15.712062,1364200,7.091321
"2001-04-20",15.719845,15.743191,15.517509,15.603113,1269900,7.042145
"2001-04-23",15.642023,15.797666,15.634241,15.688716,1005800,7.080783
"2001-04-24",15.735409,15.735409,15.595331,15.634241,1132000,7.056195
"2001-04-25",15.564202,15.992218,15.564202,15.976654,1273300,7.210737
"2001-04-26",15.782102,16.140078,15.766537,15.922179,1066000,7.186151
"2001-04-27",15.992218,16.163424,15.875486,16.124514,915000,7.27747
"2001-04-30",16.217899,16.326849,16.062256,16.194553,1366000,7.309081
"2001-05-01",16.194553,16.583658,16.077822,16.583658,1488900,7.4847
"2001-05-02",16.342413,16.350195,15.992218,16.155642,1354900,7.391809
"2001-05-03",16.350195,16.350195,15.657588,16.10895,1417000,7.370444
"2001-05-04",15.914397,16.357977,15.898832,16.357977,1023300,7.484383
"2001-05-07",16.357977,16.638132,16.163424,16.614786,1464600,7.601885
"2001-05-08",16.614786,16.677042,16.428015,16.677042,1319300,7.630368
"2001-05-09",16.677042,16.677042,16.365759,16.498055,1214900,7.548476
"2001-05-10",16.708172,16.731518,16.544746,16.708172,1080600,7.644611
"2001-05-11",16.536964,16.840467,16.357977,16.451363,1001600,7.527111
"2001-05-14",16.638132,16.653696,16.435797,16.513618,714400,7.555594
"2001-05-15",16.5214,16.536964,16.264591,16.435797,716000,7.519991
"2001-05-16",16.256809,16.879377,16.225681,16.879377,1209000,7.722948
"2001-05-17",16.731518,16.832685,16.10895,16.381323,1866400,7.495065
"2001-05-18",16.303501,16.529182,16.186769,16.342413,1666500,7.477263
"2001-05-21",16.342413,16.350195,15.953307,16.225681,2104500,7.423853
"2001-05-22",16.256809,16.350195,15.953307,15.953307,1994300,7.29923
"2001-05-23",16.10895,16.287937,15.929961,16.03891,2012500,7.3384
"2001-05-24",15.36965,15.976654,15.36965,15.618677,7539300,7.146123
"2001-05-25",15.719845,15.789884,15.603113,15.774319,3311300,7.217338
"2001-05-29",15.85214,16.443581,15.70428,16.381323,2867600,7.495065
"2001-05-30",16.171206,16.342413,16.046692,16.14786,1873000,7.388245
"2001-05-31",16.326849,16.326849,16.031128,16.225681,1143200,7.423853
"2001-06-01",16.264591,16.264591,15.797666,16.062256,1758200,7.349079
"2001-06-04",15.984436,16.101168,15.875486,16.03891,699000,7.3384
"2001-06-05",15.844358,16.140078,15.805448,16.03891,1141200,7.3384
"2001-06-06",16.03891,16.07004,15.844358,15.867704,909200,7.260066
"2001-06-07",15.797666,15.953307,15.758755,15.875486,1144400,7.263625
"2001-06-08",15.875486,15.875486,15.688716,15.758755,768100,7.210216
"2001-06-11",15.758755,15.828794,15.533074,15.55642,2944900,7.117639
"2001-06-12",15.55642,15.836576,15.501945,15.789884,1485200,7.224461
"2001-06-13",15.859922,15.976654,15.719845,15.914397,1772600,7.281429
"2001-06-14",15.945525,16.14786,15.859922,15.976654,2032200,7.309914
"2001-06-15",16.07004,16.140078,15.797666,16.031128,1981400,7.334838
"2001-06-18",16.186769,16.186769,15.727627,15.774319,1031300,7.217338
"2001-06-19",15.836576,15.914397,15.603113,15.649805,1087700,7.160368
"2001-06-20",15.603113,15.922179,15.587548,15.735409,1637300,7.199534
"2001-06-21",15.758755,16.342413,15.696498,16.334631,1572400,7.4737
"2001-06-22",16.334631,16.474709,15.945525,15.976654,2293000,7.309914
"2001-06-25",15.408561,15.953307,15.175097,15.416343,2824600,7.053551
"2001-06-26",15.252918,15.525291,15.128405,15.330739,2751100,7.014384
"2001-06-27",15.175097,15.214007,14.770428,14.801557,2923300,6.772261
"2001-06-28",14.747082,15.330739,14.63035,15.252918,1830000,6.978778
"2001-06-29",15.252918,15.431907,15.019455,15.416343,1999400,7.053551
"2001-07-02",15.268482,15.36965,15.136187,15.237354,1956500,6.971655
"2001-07-03",15.276264,15.330739,15.042802,15.322957,925000,7.010821
"2001-07-05",15.315175,15.486382,15.143969,15.470818,1422200,7.078475
"2001-07-06",15.424125,15.712062,15.385214,15.540856,1362100,7.110521
"2001-07-09",15.408561,15.564202,15.385214,15.392996,1052000,7.042868
"2001-07-10",15.439689,15.439689,15.190661,15.299611,1474100,7.000139
"2001-07-11",15.299611,15.486382,15.190661,15.447471,1695800,7.067791
"2001-07-12",15.330739,15.571984,15.136187,15.564202,1405700,7.121202
"2001-07-13",15.571984,15.81323,15.571984,15.774319,1659100,7.217338
"2001-07-16",15.680934,16.07004,15.649805,15.961089,1369400,7.302791
"2001-07-17",16.10895,16.342413,15.953307,16.311283,2493500,7.46302
"2001-07-18",16.342413,16.459145,16.186769,16.451363,1416800,7.527111
"2001-07-19",16.459145,16.536964,16.342413,16.490273,730900,7.544915
"2001-07-20",16.614786,16.614786,16.350195,16.536964,999700,7.566276
"2001-07-23",16.420233,16.536964,16.350195,16.412451,817300,7.509306
"2001-07-24",16.225681,16.435797,16.194553,16.342413,1231400,7.477263
"2001-07-25",16.342413,16.63035,16.264591,16.568094,1248100,7.580522
"2001-07-26",16.404669,16.715954,16.404669,16.684824,1054400,7.633927
"2001-07-27",16.684824,16.70039,16.326849,16.56031,926400,7.576958
"2001-07-30",16.56031,16.677042,16.420233,16.677042,1533900,7.630368
"2001-07-31",16.482491,16.723736,16.482491,16.723736,1475500,7.651731
"2001-08-01",16.536964,16.638132,16.342413,16.420233,1282100,7.615323
"2001-08-02",16.420233,16.59144,16.381323,16.59144,791000,7.694723
"2001-08-03",16.653696,16.653696,16.163424,16.326849,744400,7.572015
"2001-08-06",16.373541,16.536964,16.101168,16.365759,1612900,7.59006
"2001-08-07",16.178988,16.334631,16.031128,16.210117,985500,7.517877
"2001-08-08",16.031128,16.14786,15.875486,16.03891,1209500,7.438476
"2001-08-09",15.953307,16.404669,15.875486,16.396887,925000,7.604498
"2001-08-10",16.357977,16.723736,16.334631,16.645914,2273200,7.719988
"2001-08-13",16.645914,16.645914,16.295719,16.645914,1091900,7.719988
"2001-08-14",16.645914,16.731518,16.599222,16.638132,1526700,7.716379
"2001-08-15",16.677042,16.731518,16.575876,16.66926,927800,7.730815
"2001-08-16",16.575876,16.692608,16.342413,16.544746,1647200,7.673073
"2001-08-17",16.498055,16.731518,16.466927,16.723736,1000600,7.756082
"2001-08-20",16.723736,17.268482,16.70039,17.268482,1913100,8.00872
"2001-08-21",17.268482,17.455254,17.120623,17.268482,1567100,8.00872
"2001-08-22",17.40856,17.688717,17.035019,17.610895,1960900,8.167526
"2001-08-23",17.704281,17.704281,17.22179,17.276264,1540400,8.012331
"2001-08-24",17.237354,17.486382,17.175097,17.245136,1488600,7.997896
"2001-08-27",17.198444,17.4786,17.190662,17.338522,819800,8.041208
"2001-08-28",17.237354,17.354086,16.926069,17.2607,1274700,8.005114
"2001-08-29",17.198444,17.431906,17.003891,17.354086,951700,8.048423
"2001-08-30",17.509727,17.976654,17.509727,17.898832,2687300,8.301065
"2001-08-31",17.898832,18.015564,17.774319,17.859922,1557500,8.283016
"2001-09-04",17.859922,18.373541,17.821012,18.287937,1843800,8.481523
"2001-09-05",18.015564,18.443581,17.657587,18.202335,1861900,8.441819
"2001-09-06",18.210117,18.210117,17.673151,17.976654,2329700,8.337157
"2001-09-07",17.774319,17.953308,17.657587,17.758755,1579000,8.236101
"2001-09-10",17.564203,17.984436,17.501945,17.797665,1113400,8.254142
"2001-09-17",17.268482,17.642023,16.887159,17.494164,1678300,8.113387
"2001-09-18",17.354086,17.587549,16.964981,17.564203,1182900,8.145871
"2001-09-19",17.587549,17.610895,16.996109,17.509727,2488900,8.120604
"2001-09-20",17.509727,17.509727,16.692608,17.089495,2959900,7.925711
"2001-09-21",16.964981,17.042801,16.342413,16.972763,2891800,7.871575
"2001-09-24",16.972763,17.237354,16.964981,17.120623,2864700,7.940148
"2001-09-25",17.120623,17.198444,16.809338,16.980545,2054000,7.875184
"2001-09-26",17.105059,17.120623,16.653696,16.902723,2309500,7.839094
"2001-09-27",16.926069,17.120623,16.809338,17.120623,3030400,7.940148
"2001-09-28",17.198444,17.501945,17.159533,17.470818,2222100,8.102562
"2001-10-01",17.587549,17.603113,17.338522,17.509727,2860000,8.120604
"2001-10-02",17.696499,17.898832,17.548637,17.898832,2957000,8.301065
"2001-10-03",17.976654,17.976654,17.719845,17.844358,2797100,8.275801
"2001-10-04",17.883268,17.898832,17.665369,17.782101,1255700,8.246926
"2001-10-05",17.782101,17.898832,17.665369,17.859922,1832900,8.283016
"2001-10-08",17.859922,17.883268,17.470818,17.626459,880600,8.174745
"2001-10-09",17.665369,17.774319,17.338522,17.43969,1105100,8.088125
"2001-10-10",17.548637,17.859922,17.400778,17.719845,1020100,8.218055
"2001-10-11",17.587549,17.844358,17.509727,17.758755,1705900,8.236101
"2001-10-12",17.509727,17.696499,16.988327,17.143969,1769400,7.950975
"2001-10-15",17.276264,17.392996,17.042801,17.097277,2010100,7.929321
"2001-10-16",17.276264,17.346304,17.042801,17.089495,1538200,7.925711
"2001-10-17",17.198444,17.322958,17.003891,17.035019,1981700,7.90045
"2001-10-18",17.081713,17.315176,17.050583,17.143969,781400,7.950975
"2001-10-19",17.143969,17.610895,17.120623,17.486382,965100,8.109775
"2001-10-22",17.509727,17.704281,17.400778,17.642023,913800,8.181959
"2001-10-23",17.595331,17.712063,17.252918,17.673151,944300,8.196397
"2001-10-24",17.782101,17.898832,17.564203,17.626459,1549900,8.174745
"2001-10-25",17.626459,17.898832,17.486382,17.867704,1537100,8.28663
"2001-10-26",17.859922,18.085604,17.813231,18,1340200,8.347985
"2001-10-29",18.085604,18.085604,17.750973,17.875486,1115300,8.290236
"2001-10-30",17.875486,18.015564,17.719845,17.968872,996000,8.333543
"2001-10-31",17.937744,17.968872,17.719845,17.821012,1636700,8.374493
"2001-11-01",17.89105,18.396887,17.712063,18.350195,2342800,8.623171
"2001-11-02",18.210117,18.684824,18.101168,18.661478,1750400,8.769449
"2001-11-05",18.856031,19.011673,18.684824,18.933851,1586700,8.897445
"2001-11-06",18.754864,19.276264,18.731518,19.190662,1813100,9.018123
"2001-11-07",18.996109,19.33074,18.910505,19.22179,1165800,9.032751
"2001-11-08",19.29961,19.33074,18.544746,18.661478,1862900,8.769449
"2001-11-09",18.194553,18.482491,18.031128,18.357977,2798400,8.626829
"2001-11-12",18.357977,18.365759,18.023346,18.249027,1105300,8.57563
"2001-11-13",18.428015,18.443581,18.132296,18.326849,995800,8.612196
"2001-11-14",18.015564,18.435797,17.984436,18.249027,1545800,8.57563
"2001-11-15",18.062256,18.357977,18.062256,18.178988,1087200,8.542712
"2001-11-16",18.365759,18.365759,17.914396,18.14786,1126400,8.528086
"2001-11-19",18.272373,18.287937,17.96109,18.054474,1318200,8.484203
"2001-11-20",17.976654,18.124514,17.813231,18.046692,1252600,8.480548
"2001-11-21",18.046692,18.132296,17.914396,18.023346,625900,8.469577
"2001-11-23",17.992218,18.046692,17.914396,18.03891,311400,8.47689
"2001-11-26",18.03891,18.054474,17.898832,17.96109,1016100,8.440322
"2001-11-27",17.782101,17.859922,17.571985,17.665369,931400,8.301358
"2001-11-28",17.665369,17.883268,17.618677,17.704281,1771700,8.319642
"2001-11-29",17.743191,17.883268,17.587549,17.766537,1743600,8.348893
"2001-11-30",17.821012,17.92996,17.603113,17.875486,2060700,8.400094
"2001-12-03",17.875486,18.03891,17.719845,18.015564,2237900,8.46592
"2001-12-04",18.015564,18.14786,17.914396,18.132296,1936700,8.520774
"2001-12-05",18.132296,18.225681,18.015564,18.10895,1021800,8.509802
"2001-12-06",17.976654,18.132296,17.813231,18.054474,1542100,8.484203
"2001-12-07",17.906614,18.132296,17.906614,18.124514,1240100,8.517118
"2001-12-10",18.124514,18.272373,17.976654,18.10895,1224300,8.509802
"2001-12-11",18.116732,18.194553,17.727627,17.789883,1130900,8.359868
"2001-12-12",17.821012,17.898832,17.673151,17.85214,1189300,8.389125
"2001-12-13",17.805447,18.404669,17.743191,18.241245,1960500,8.571969
"2001-12-14",18.132296,18.677042,18.132296,18.505836,2496600,8.696313
"2001-12-17",18.443581,18.63035,18.319067,18.505836,1581500,8.696313
"2001-12-18",18.505836,18.638132,18.490273,18.614786,2119000,8.747508
"2001-12-19",18.614786,19.066149,18.490273,18.918287,2347800,8.890128
"2001-12-20",18.365759,19.042801,18.365759,18.863813,1775800,8.864532
"2001-12-21",18.863813,18.910505,18.645914,18.684824,2353400,8.780418
"2001-12-24",18.715954,18.902723,18.684824,18.77821,694000,8.824307
"2001-12-26",18.832685,18.957199,18.715954,18.817122,1286900,8.842591
"2001-12-27",18.832685,18.871595,18.677042,18.824903,1001200,8.846246
"2001-12-28",18.832685,18.871595,18.5214,18.599222,771200,8.740192
"2001-12-31",18.638132,18.715954,18.443581,18.498055,1386600,8.692656
"2002-01-02",18.536964,18.614786,18.287937,18.56031,1672400,8.72191
"2002-01-03",18.544746,18.552528,18.241245,18.256809,1488400,8.57929
"2002-01-04",18.326849,18.342413,18.007782,18.077822,1356300,8.495175
"2002-01-07",18.132296,18.186769,17.937744,18.132296,1460700,8.520774
"2002-01-08",18.249027,18.381323,18.101168,18.287937,1600300,8.593915
"2002-01-09",18.443581,18.653696,18.093386,18.210117,1912800,8.557346
"2002-01-10",18.350195,18.754864,18.287937,18.638132,2361100,8.75848
"2002-01-11",18.832685,18.832685,18.653696,18.723736,1517800,8.798706
"2002-01-14",18.723736,19.175097,18.677042,18.949417,1960200,8.904761
"2002-01-15",19.159533,19.291828,19.027237,19.22179,2163600,9.032751
"2002-01-16",19.22179,19.361868,18.894941,18.918287,1405500,8.890128
"2002-01-17",18.996109,19.035019,18.723736,19.003891,1353700,8.930355
"2002-01-18",18.988327,19.252918,18.918287,18.996109,2468400,8.926699
"2002-01-22",19.050583,19.642023,18.996109,19.517509,2002400,9.17172
"2002-01-23",19.494164,19.525291,19.29961,19.416342,1209600,9.12418
"2002-01-24",19.22179,19.229572,18.653696,18.957199,2329000,8.908416
"2002-01-25",18.910505,18.957199,18.70039,18.848249,1388000,8.857219
"2002-01-28",18.848249,19.447472,18.77821,19.346304,2590800,9.091268
"2002-01-29",19.40856,19.447472,19.112841,19.322958,3339900,9.080293
"2002-01-30",19.128405,19.447472,19.019455,19.237354,3109100,9.151364
"2002-01-31",19.237354,19.33074,19.081713,19.29961,3069300,9.180972
"2002-02-01",19.22179,19.284046,18.988327,19.128405,913200,9.099532
"2002-02-04",18.933851,19.252918,18.856031,18.980545,1128700,9.0292
"2002-02-05",18.785992,19.042801,18.785992,18.972763,1735700,9.025497
"2002-02-06",18.910505,18.949417,18.498055,18.638132,2880000,8.866309
"2002-02-07",18.63035,18.793774,18.583658,18.677042,1549700,8.884816
"2002-02-08",18.5214,18.66926,18.303501,18.645914,1744700,8.870009
"2002-02-11",18.599222,18.66926,18.466927,18.583658,1192200,8.840396
"2002-02-12",18.474709,18.661478,18.287937,18.396887,1878200,8.751544
"2002-02-13",18.490273,18.583658,18.256809,18.529182,946900,8.814477
"2002-02-14",18.599222,18.848249,18.435797,18.824903,2043500,8.955155
"2002-02-15",18.817122,18.871595,18.614786,18.66926,1818000,8.881118
"2002-02-19",18.536964,18.599222,18.217899,18.264591,1718500,8.688613
"2002-02-20",18.365759,18.365759,17.937744,18.202335,3137700,8.658995
"2002-02-21",18.210117,18.552528,18.194553,18.428015,2499100,8.766354
"2002-02-22",18.56031,18.926069,18.443581,18.785992,2328200,8.936646
"2002-02-25",18.785992,18.996109,18.747082,18.801556,1302900,8.944049
"2002-02-26",18.66926,18.793774,18.365759,18.5214,1481400,8.81078
"2002-02-27",18.56031,18.59144,18.264591,18.365759,1295900,8.736736
"2002-02-28",18.412451,18.5214,18.217899,18.217899,1281000,8.666401
"2002-03-01",18.171206,18.443581,18.085604,18.412451,1233300,8.758948
"2002-03-04",18.482491,18.5214,18.140078,18.272373,2188400,8.692317
"2002-03-05",18.210117,18.272373,17.898832,17.937744,2951100,8.533125
"2002-03-06",18.015564,18.280155,17.984436,18.132296,1561700,8.625678
"2002-03-07",18.210117,18.217899,17.828794,17.867704,2211000,8.499807
"2002-03-08",17.976654,17.976654,17.782101,17.782101,2135000,8.459087
"2002-03-11",17.821012,17.821012,17.673151,17.680933,2006000,8.41096
"2002-03-12",17.680933,17.968872,17.642023,17.774319,2276600,8.455385
"2002-03-13",17.89105,17.92996,17.40856,17.587549,3061200,8.366536
"2002-03-14",17.766537,17.96109,17.680933,17.883268,2332100,8.507213
"2002-03-15",17.96109,18.132296,17.828794,18.03891,2525700,8.581257
"2002-03-18",18.062256,18.747082,17.665369,17.727627,1697600,8.433172
"2002-03-19",17.805447,18.046692,17.750973,17.85214,1594100,8.492401
"2002-03-20",17.937744,18.124514,17.821012,17.945526,1907700,8.536833
"2002-03-21",17.976654,18.342413,17.914396,18.334631,2105900,8.72193
"2002-03-22",18.396887,18.513618,18.287937,18.466927,1469300,8.784866
"2002-03-25",18.396887,18.599222,18.249027,18.443581,2581800,8.773757
"2002-03-26",18.568094,18.677042,18.529182,18.661478,1660700,8.877415
"2002-03-27",18.677042,18.785992,18.599222,18.638132,1817700,8.866309
"2002-03-28",18.770428,19.058365,18.684824,18.871595,2934000,8.977366
"2002-04-01",18.832685,18.949417,18.677042,18.848249,2981500,8.966263
"2002-04-02",18.809338,19.128405,18.762646,19.081713,2847000,9.077324
"2002-04-03",19.2607,19.361868,19.190662,19.29961,3314500,9.180972
"2002-04-04",19.29961,20.007782,19.29961,19.953308,7295700,9.491949
"2002-04-05",19.914396,19.945526,19.603113,19.766537,1962400,9.403097
"2002-04-08",19.455254,19.673151,19.455254,19.571985,1712200,9.310551
"2002-04-09",19.525291,19.626459,19.392996,19.4786,3002500,9.266127
"2002-04-10",19.4786,19.719845,19.416342,19.610895,4389800,9.329059
"2002-04-11",19.571985,19.634241,19.416342,19.447472,1755800,9.251317
"2002-04-12",19.494164,19.610895,19.424124,19.533073,2102000,9.292041
"2002-04-15",19.533073,19.571985,19.2607,19.284046,1685000,9.173575
"2002-04-16",19.284046,19.377432,19.190662,19.29961,1353200,9.180972
"2002-04-17",19.29961,19.346304,19.198444,19.291828,954600,9.177276
"2002-04-18",19.33074,19.494164,19.276264,19.43969,3281200,9.247619
"2002-04-19",19.43969,19.494164,19.338522,19.455254,1113800,9.25502
"2002-04-22",19.455254,19.455254,19.416342,19.43969,1552600,9.247619
"2002-04-23",19.455254,19.533073,19.29961,19.322958,1896600,9.192084
"2002-04-24",19.455254,19.455254,18.988327,19.097277,3349400,9.084727
"2002-04-25",19.143969,19.416342,19.066149,19.392996,2227600,9.225403
"2002-04-26",19.431906,19.431906,19.073931,19.136187,2101100,9.103239
"2002-04-29",19.011673,19.206226,18.926069,19.035019,1707200,9.055108
"2002-04-30",19.035019,19.066149,18.793774,19.066149,2600000,9.06992
"2002-05-01",19.011673,19.112841,18.871595,19.066149,2280200,9.183104
"2002-05-02",19.066149,19.136187,18.957199,19.027237,1946500,9.164361
"2002-05-03",19.027237,19.105059,18.887159,19.042801,2366000,9.17186
"2002-05-06",19.066149,19.081713,18.957199,19.042801,1860600,9.17186
"2002-05-07",19.050583,19.112841,18.926069,19.050583,3055400,9.175605
"2002-05-08",19.050583,19.182878,18.949417,19.042801,1991200,9.17186
"2002-05-09",18.988327,19.105059,18.910505,18.996109,1400900,9.14937
"2002-05-10",18.996109,19.105059,18.941635,19.066149,4906600,9.183104
"2002-05-13",19.066149,19.175097,18.988327,19.066149,2598600,9.183104
"2002-05-14",19.105059,19.105059,18.980545,18.988327,2947000,9.145622
"2002-05-15",19.019455,19.105059,18.980545,19.073931,2844300,9.186854
"2002-05-16",19.105059,19.175097,19.035019,19.081713,1464300,9.190605
"2002-05-17",19.081713,19.105059,18.988327,19.066149,1313200,9.183104
"2002-05-20",19.066149,19.066149,18.879377,19.027237,1429300,9.164361
"2002-05-21",19.066149,19.190662,18.949417,19.035019,3750100,9.16811
"2002-05-22",19.105059,19.338522,19.066149,19.29961,10608100,9.295546
"2002-05-23",19.416342,19.463036,19.268482,19.416342,3275400,9.351778
"2002-05-24",19.447472,19.494164,19.214008,19.268482,1497000,9.28056
"2002-05-28",19.307392,19.377432,19.066149,19.276264,2054200,9.284307
"2002-05-29",19.066149,19.486382,19.066149,19.431906,3291600,9.359271
"2002-05-30",19.431906,19.603113,18.863813,19.167315,3774300,9.231833
"2002-05-31",19.167315,19.284046,19.011673,19.151751,2835800,9.224331
"2002-06-03",19.175097,19.22179,18.832685,18.856031,1329800,9.081905
"2002-06-04",18.856031,19.027237,18.692608,18.949417,1984100,9.126884
"2002-06-05",19.027237,19.252918,18.887159,19.245136,2057000,9.269316
"2002-06-06",19.245136,19.245136,18.77821,18.879377,1384800,9.093148
"2002-06-07",18.887159,19.198444,18.848249,19.120623,1368700,9.209343
"2002-06-10",19.081713,19.36965,19.081713,19.268482,1036300,9.28056
"2002-06-11",19.268482,19.610895,19.2607,19.338522,1678800,9.314294
"2002-06-12",19.338522,19.455254,19.190662,19.361868,1290600,9.325537
"2002-06-13",19.237354,19.377432,18.949417,19.035019,1219800,9.16811
"2002-06-14",19.042801,19.058365,18.677042,18.910505,1271500,9.108145
"2002-06-17",19.027237,19.447472,18.996109,19.447472,1328400,9.366765
"2002-06-18",19.447472,19.447472,19.182878,19.385214,1454700,9.336782
"2002-06-19",19.385214,19.782101,19.33074,19.704281,2659500,9.490458
"2002-06-20",19.665369,20.116732,19.649805,19.922178,2333600,9.595408
"2002-06-21",19.688717,20.077822,19.688717,20.015564,2908700,9.640388
"2002-06-24",20.07004,20.155642,19.766537,19.906614,2776200,9.587914
"2002-06-25",20.217899,20.217899,19.291828,19.36965,2535100,9.329286
"2002-06-26",19.377432,20.428015,19.198444,20.357977,4804100,9.805305
"2002-06-27",20.77821,21.112841,20.412451,21.003891,5690600,10.116411
"2002-06-28",20.918287,21.517509,20.70039,21.517509,5217300,10.363791
"2002-07-01",21.050583,21.167315,20.770428,20.957199,4196200,10.093921
"2002-07-02",21.050583,21.050583,20.575876,20.856031,2871400,10.045192
"2002-07-03",20.856031,20.964981,20.583658,20.832685,2409100,10.033947
"2002-07-05",20.7393,20.817122,20.482491,20.770428,1483500,10.003959
